batch_id,temperature_C_avg,pH_avg,dissolved_oxygen_pct_avg,agitation_rpm_avg,airflow_vvm_avg,feed_rate_L_hr_avg,fermentation_time_hr,inoculum_age_hr,substrate_concentration_g_L,yield_pct,deviation_flag
B2026-0085,30.33,5.52,27.35,403.5,1.05,3.7,64.7,16.4,47.0,88.15,0
B2026-0086,29.19,5.91,29.08,457.0,1.01,2.94,72.5,19.7,37.2,86.91,0
B2026-0087,29.5,5.55,20.99,446.1,1.24,3.17,76.9,18.2,39.9,82.88,1
B2026-0088,30.96,5.58,26.97,381.9,1.31,3.45,66.6,15.4,25.8,82.02,0
B2026-0089,29.66,6.07,26.17,410.7,1.26,3.95,74.9,18.2,38.3,86.46,0
B2026-0090,31.57,5.79,38.17,477.4,1.05,3.07,73.5,18.1,38.9,84.45,1
B2026-0091,30.0,6.41,38.47,441.6,1.32,2.39,75.4,17.3,35.9,80.67,0
B2026-0092,30.29,5.63,30.83,343.2,1.07,2.35,75.9,18.7,43.0,86.16,0
B2026-0093,31.13,6.15,28.86,456.1,1.11,2.71,68.9,24.7,41.7,78.54,0
B2026-0094,30.09,5.83,33.12,360.3,1.03,2.68,64.7,20.8,28.4,85.64,0
B2026-0095,29.3,6.08,25.47,497.7,1.43,3.31,69.6,29.9,43.3,83.51,0
B2026-0096,29.92,5.64,22.83,476.3,1.31,2.75,76.0,20.7,36.4,86.58,1
B2026-0097,29.98,5.78,24.48,435.9,1.31,3.01,69.6,18.8,44.9,87.39,0
B2026-0098,29.04,5.76,26.92,428.6,1.42,2.97,68.9,20.0,34.3,79.47,0
B2026-0099,29.82,5.51,22.69,408.5,1.71,3.16,63.8,21.0,42.2,86.13,1
B2026-0100,29.48,6.03,33.3,457.3,0.89,4.13,79.9,21.7,40.3,81.04,0
B2026-0101,30.65,6.03,37.84,399.6,1.07,3.76,75.7,28.3,43.8,78.1,0
B2026-0102,30.02,6.01,19.3,433.0,1.09,3.41,75.5,16.6,42.7,84.94,1
B2026-0103,29.8,6.34,32.2,468.0,1.05,3.15,76.4,23.4,40.5,83.73,0
B2026-0104,29.93,6.31,30.24,389.1,1.01,3.16,74.6,20.8,32.8,87.88,0
B2026-0105,30.16,5.67,34.73,386.1,1.15,3.58,70.9,13.7,33.1,85.0,0
B2026-0106,30.43,5.93,31.9,354.3,0.98,3.72,71.3,23.1,38.5,78.24,0
B2026-0107,29.3,5.58,20.37,361.5,1.26,2.9,70.1,25.1,42.0,79.52,1
B2026-0108,29.27,5.81,21.9,319.4,1.21,3.42,83.9,16.6,38.4,88.6,1
B2026-0109,30.77,5.59,32.24,460.1,1.29,2.28,74.5,20.0,45.8,81.22,0
B2026-0110,29.71,6.37,40.23,519.5,1.29,3.52,69.9,13.1,40.3,84.7,0
B2026-0111,29.01,5.93,14.29,498.4,1.31,3.82,74.1,15.0,36.2,72.39,1
B2026-0112,30.31,5.72,34.77,330.6,1.13,3.25,67.5,24.2,40.3,84.37,0
B2026-0113,30.32,6.22,41.52,459.9,1.58,4.4,78.8,18.1,43.4,83.42,1
B2026-0114,28.93,5.04,30.78,498.2,1.24,2.92,69.0,15.6,43.9,80.93,0
B2026-0115,30.16,5.1,36.4,394.9,0.86,3.52,74.3,20.9,53.3,86.93,0
B2026-0116,30.51,6.08,26.38,425.6,1.02,3.38,76.8,17.9,38.0,83.39,0
B2026-0117,30.26,5.82,31.05,309.6,0.89,3.34,73.7,18.1,41.6,83.73,1
B2026-0118,30.44,5.89,19.03,434.7,1.2,3.34,72.4,23.0,44.6,81.23,1
B2026-0119,29.02,5.34,13.25,361.5,1.18,3.46,72.0,15.4,41.9,76.01,1
B2026-0120,30.23,5.79,39.54,431.0,1.12,3.87,71.7,16.4,39.0,86.74,0
B2026-0121,29.79,6.5,24.12,334.1,1.56,4.16,69.4,20.6,32.7,88.49,1
B2026-0122,29.66,6.09,28.36,449.9,1.3,3.4,70.0,23.9,38.9,89.97,0
B2026-0123,30.61,5.86,20.91,476.3,1.33,3.85,78.7,25.0,35.6,84.37,1
B2026-0124,31.04,5.65,20.72,376.9,1.03,3.01,71.5,17.3,31.6,82.25,1
B2026-0125,31.26,5.66,30.61,357.5,1.02,3.82,68.5,23.7,37.2,73.49,1
B2026-0126,30.92,5.05,26.16,301.4,1.21,2.98,69.7,16.9,35.7,76.94,1
B2026-0127,29.92,5.89,35.02,405.3,1.23,4.0,77.0,27.3,45.5,89.53,0
B2026-0128,30.25,6.1,35.62,388.0,0.87,4.62,75.0,15.5,45.6,82.0,1
B2026-0129,30.54,5.25,34.57,334.7,1.17,3.33,74.5,25.3,36.6,81.99,0
B2026-0130,30.08,5.57,33.91,444.9,1.2,2.19,70.8,17.4,40.4,84.29,0
B2026-0131,30.09,5.39,44.62,395.3,1.16,3.1,74.6,28.1,30.9,81.58,0
B2026-0132,30.58,5.46,23.46,360.8,1.05,4.08,69.1,22.4,39.0,74.89,1
B2026-0133,29.96,5.82,31.56,389.5,1.1,3.7,70.8,15.9,44.4,84.43,0
B2026-0134,29.49,5.07,41.06,478.9,1.17,3.54,76.4,17.9,46.9,80.78,0
B2026-0135,29.71,6.01,42.12,453.2,1.22,3.95,75.9,23.1,37.7,82.61,0
B2026-0136,30.44,6.06,20.63,412.8,1.31,3.67,67.6,24.2,48.3,82.14,1
B2026-0137,30.0,5.71,29.5,454.1,1.39,4.07,68.2,19.7,32.9,87.23,0
B2026-0138,30.24,4.93,42.86,356.1,1.15,3.91,72.5,20.2,34.5,80.26,0
B2026-0139,30.47,5.45,36.06,421.8,1.12,4.24,79.8,23.0,46.3,78.93,0
B2026-0140,29.74,6.23,33.56,428.1,1.28,3.6,63.4,20.5,52.0,84.01,0
B2026-0141,30.53,4.83,30.26,394.2,1.31,3.9,73.3,14.8,45.0,79.25,0
B2026-0142,30.27,5.68,28.93,444.0,1.12,3.23,65.8,16.7,41.8,87.01,0
B2026-0143,29.14,5.39,34.31,377.1,1.34,3.07,69.1,20.9,28.8,80.61,0
B2026-0144,31.01,6.08,29.98,448.0,1.38,4.34,70.4,24.9,29.9,81.49,1
B2026-0145,29.65,5.56,31.66,450.4,1.43,3.52,70.1,26.5,42.8,86.15,0
B2026-0146,28.84,5.94,32.63,259.6,1.52,3.84,69.6,23.1,39.9,80.04,0
B2026-0147,29.27,6.0,26.58,485.5,1.04,3.47,72.0,21.1,35.4,82.48,0
B2026-0148,29.29,6.44,36.26,252.4,1.2,3.08,69.6,23.0,42.4,76.62,0
B2026-0149,30.04,5.73,55.31,386.1,1.2,3.41,65.4,17.3,42.7,90.37,0
B2026-0150,29.81,5.93,17.78,476.4,1.18,4.19,75.5,19.4,47.7,81.47,1
B2026-0151,29.76,5.28,34.59,402.5,1.08,3.71,75.4,16.7,42.8,86.87,0
B2026-0152,30.43,6.22,25.92,339.4,0.93,2.46,75.8,15.0,49.4,81.77,0
B2026-0153,30.24,5.53,36.62,359.8,1.22,3.28,65.1,21.3,42.0,84.47,0
B2026-0154,30.22,5.6,32.37,476.5,1.06,4.38,73.3,20.7,41.3,88.53,1
B2026-0155,30.29,5.79,38.09,314.3,1.22,3.28,75.0,22.8,48.4,91.56,0
B2026-0156,30.43,5.25,41.4,482.1,1.06,2.41,67.4,22.2,36.1,85.81,0
B2026-0157,28.52,5.88,33.54,417.0,1.0,4.44,72.0,21.0,58.9,78.27,1
B2026-0158,29.74,6.14,41.06,354.4,1.24,3.78,71.5,22.2,44.3,91.0,0
B2026-0159,28.47,5.9,13.25,387.9,1.23,3.36,80.3,19.8,44.3,75.04,1
B2026-0160,30.03,5.24,44.72,364.1,1.3,3.2,80.7,21.7,45.2,84.01,0
B2026-0161,30.0,5.76,35.0,467.6,1.59,4.0,64.5,17.1,53.3,85.3,0
B2026-0162,30.73,6.06,40.62,460.3,1.25,3.1,83.2,21.5,46.8,84.24,0
B2026-0163,30.83,5.14,22.24,325.4,1.29,4.03,67.9,22.7,32.4,77.2,1
B2026-0164,30.14,5.42,25.35,397.8,1.01,3.7,76.4,17.3,50.4,89.39,0
B2026-0165,29.65,6.11,33.17,372.5,0.97,3.53,76.4,20.2,40.0,90.02,0
B2026-0166,30.34,5.89,31.86,491.1,1.48,3.48,67.5,17.5,42.6,83.9,0
B2026-0167,29.63,5.94,34.26,345.7,1.03,3.3,74.2,17.9,34.3,82.64,0
B2026-0168,30.0,6.45,40.68,508.2,1.01,3.98,71.5,15.5,45.2,82.17,0
B2026-0169,30.69,5.96,17.88,418.2,1.19,2.92,74.5,25.1,38.1,81.39,1
B2026-0170,29.61,6.03,39.79,356.1,1.18,2.51,73.0,24.3,42.6,84.44,0
B2026-0171,30.56,6.75,32.07,382.7,1.04,3.74,77.4,22.1,40.3,81.68,0
B2026-0172,30.47,5.73,30.37,375.9,1.15,3.75,72.3,27.9,53.6,83.0,0
B2026-0173,29.33,5.52,20.23,349.9,1.42,3.66,71.2,19.2,53.9,78.91,1
B2026-0174,30.68,5.95,36.02,425.2,1.05,3.62,76.9,32.1,42.3,79.99,0
B2026-0175,30.49,5.95,12.69,352.5,0.95,3.22,74.6,19.1,42.4,78.79,1
B2026-0176,30.07,5.62,37.19,300.1,1.37,3.83,75.3,21.0,39.8,90.48,0
B2026-0177,29.47,5.44,20.06,399.1,1.29,3.37,69.0,18.4,48.6,92.41,0
B2026-0178,29.4,6.61,32.43,320.8,1.09,3.13,67.3,21.5,40.0,78.5,0
B2026-0179,29.62,5.91,31.05,378.6,0.92,3.23,69.4,23.3,39.5,77.04,0
B2026-0180,30.38,5.54,41.36,370.0,1.07,4.51,69.2,19.5,47.9,86.17,1
B2026-0181,29.33,6.12,30.57,372.1,1.19,2.45,75.5,27.1,38.8,79.95,0
B2026-0182,30.31,5.76,26.45,530.1,1.41,3.67,76.4,21.0,41.8,90.13,1
B2026-0183,29.13,5.71,27.95,423.1,1.01,2.48,71.3,21.1,32.5,78.9,0
B2026-0184,29.86,6.0,42.18,433.5,1.18,3.34,78.4,16.4,46.2,86.39,0
B2026-0185,30.08,5.35,36.29,322.3,1.32,3.16,78.2,21.7,53.6,84.89,0
B2026-0186,31.71,5.92,28.91,384.0,0.77,2.25,73.1,19.5,46.3,82.03,1
B2026-0187,29.04,6.47,30.11,431.8,1.39,3.61,68.3,17.6,50.8,80.53,0
B2026-0188,31.03,5.96,19.46,363.7,0.99,3.19,79.1,16.9,36.9,80.11,1
B2026-0189,30.1,5.67,35.11,469.9,1.26,2.25,71.7,30.7,43.4,81.42,1
B2026-0190,30.29,5.62,17.92,353.9,1.24,3.86,72.6,18.9,36.3,78.15,1
B2026-0191,30.08,5.66,38.01,404.2,1.4,4.19,70.5,14.2,40.6,83.18,0
B2026-0192,30.31,5.71,33.03,387.8,1.3,4.22,68.0,17.2,46.6,76.84,0
B2026-0193,29.89,5.67,51.1,429.0,0.77,3.6,65.4,19.8,42.6,84.29,0
B2026-0194,31.02,6.12,23.2,384.8,1.06,3.43,74.8,22.2,33.5,82.57,1
B2026-0195,29.68,5.19,31.18,405.1,1.22,4.13,68.5,22.2,34.1,82.62,0
B2026-0196,30.79,6.1,46.39,407.0,1.16,4.33,85.8,22.7,33.7,78.85,1
B2026-0197,29.55,5.67,41.53,379.6,1.29,4.02,67.1,17.4,44.9,83.97,0
B2026-0198,29.96,5.93,26.43,446.7,1.34,2.88,66.3,21.4,54.4,85.14,0
B2026-0199,29.25,5.41,33.79,433.1,1.31,3.51,74.3,16.5,50.2,87.48,0
B2026-0200,30.32,6.27,32.02,415.1,1.16,3.64,78.9,17.5,30.6,82.84,0
B2026-0201,31.01,6.24,34.26,396.3,0.87,2.4,72.3,16.3,50.5,79.64,0
B2026-0202,29.95,6.14,26.41,463.8,1.12,3.66,74.6,15.2,47.6,87.18,0
B2026-0203,29.86,5.27,31.29,407.0,1.27,4.65,63.7,24.3,32.7,80.04,1
B2026-0204,29.22,6.09,19.22,403.1,1.0,3.75,69.0,22.8,40.2,75.13,1
B2026-0205,29.84,5.94,33.08,425.8,1.31,4.21,67.2,23.9,48.6,84.71,0
B2026-0206,28.89,5.24,35.6,513.3,1.36,3.5,63.5,20.2,45.3,80.94,0
B2026-0207,29.36,5.79,30.18,346.3,1.22,3.36,72.5,23.1,34.1,89.54,0
B2026-0208,30.16,5.93,19.08,462.3,0.7,3.61,61.9,13.0,45.7,79.75,1
B2026-0209,30.92,5.99,39.91,315.9,0.97,2.95,66.1,23.5,29.2,81.13,0
B2026-0210,31.97,5.86,34.92,432.0,1.54,2.87,69.6,20.7,40.7,80.53,1
B2026-0211,29.59,5.9,26.19,506.6,1.1,4.1,68.3,22.5,48.8,85.56,0
B2026-0212,31.0,6.32,29.76,446.9,0.84,4.15,73.8,21.5,42.1,74.03,1
B2026-0213,30.17,6.23,19.99,429.4,1.42,2.85,73.4,16.1,39.0,86.07,1
B2026-0214,29.89,4.8,23.8,389.2,1.2,3.93,76.0,14.0,47.3,77.23,1
B2026-0215,30.3,5.69,27.7,421.7,1.4,3.35,75.4,17.2,47.8,83.4,0
B2026-0216,30.04,5.74,41.83,406.1,1.25,3.59,77.1,22.3,49.9,91.77,0
B2026-0217,30.08,5.19,26.88,376.8,1.28,3.65,72.0,22.8,47.2,91.31,0
B2026-0218,29.71,5.83,37.12,404.1,1.27,3.95,73.4,14.5,48.5,79.67,0
B2026-0219,29.02,6.24,27.69,430.9,1.33,3.45,74.3,16.1,46.4,81.16,0
B2026-0220,28.92,5.42,33.98,377.8,1.61,4.18,72.6,17.1,43.6,80.82,0
B2026-0221,30.46,5.92,30.87,375.7,1.37,3.57,70.2,18.6,42.5,91.27,0
B2026-0222,29.81,5.48,38.98,345.2,0.92,3.74,70.5,14.6,40.6,85.05,0
B2026-0223,29.58,5.56,27.72,441.5,1.28,2.94,68.3,14.3,34.7,82.48,0
B2026-0224,30.01,6.32,19.42,450.0,1.41,4.59,73.9,16.7,36.3,82.19,1
B2026-0225,30.56,5.61,20.94,432.7,1.42,3.66,71.6,20.3,40.3,84.33,1
B2026-0226,30.13,5.96,27.74,473.1,1.12,3.79,69.0,15.3,43.4,88.48,0
B2026-0227,29.54,5.15,22.01,424.8,1.41,2.52,69.0,19.5,50.6,76.6,1
B2026-0228,30.86,6.45,35.28,441.6,1.37,2.95,66.6,24.2,41.7,80.19,0
B2026-0229,31.11,6.01,28.27,436.7,1.66,4.08,76.4,14.8,48.0,72.59,1
B2026-0230,30.35,5.74,51.0,415.0,1.06,3.56,72.4,19.2,48.5,85.38,0
B2026-0231,30.68,6.0,18.1,390.8,1.11,2.35,68.1,24.1,40.6,80.39,1
B2026-0232,30.87,5.31,33.63,541.8,1.14,3.97,75.6,18.3,45.6,80.09,0
B2026-0233,30.79,6.21,22.98,395.1,1.11,3.1,69.5,17.7,40.5,82.3,1
B2026-0234,30.43,5.69,28.05,383.4,1.04,4.18,65.7,24.7,49.9,77.46,0
B2026-0235,30.42,5.73,33.13,443.9,0.7,3.35,76.6,18.8,45.8,85.44,0
B2026-0236,30.36,5.63,13.4,433.9,1.12,3.51,69.6,24.4,34.9,82.64,1
B2026-0237,29.23,5.6,33.89,342.7,1.27,4.05,70.2,21.7,43.0,83.11,0
B2026-0238,30.49,6.04,47.22,481.7,1.11,2.91,72.2,18.6,51.9,76.4,0
B2026-0239,29.05,5.89,28.37,414.8,1.55,2.85,77.1,21.9,40.9,81.93,0
B2026-0240,29.44,6.03,34.08,358.9,1.2,3.29,72.1,21.3,44.7,86.43,0
B2026-0241,30.91,5.8,40.2,485.4,1.43,3.85,66.6,24.1,45.3,81.01,0
B2026-0242,30.59,5.98,30.69,454.4,1.25,2.67,74.4,17.8,35.8,80.55,0
B2026-0243,31.04,5.65,27.35,350.5,1.35,2.48,69.8,20.2,45.1,83.16,0
B2026-0244,29.81,6.58,13.79,517.7,1.25,3.85,80.5,19.8,33.6,77.7,0
B2026-0245,29.19,5.25,37.13,456.2,1.45,3.07,72.0,22.8,38.2,82.56,0
B2026-0246,29.83,6.24,31.09,419.4,1.21,3.18,61.9,15.9,48.5,84.6,0
B2026-0247,30.07,6.28,23.9,507.5,1.29,2.38,73.6,24.1,44.1,88.67,1
B2026-0248,30.06,5.5,33.01,428.8,1.27,3.03,80.8,21.9,40.2,86.04,0
B2026-0249,30.79,6.58,27.33,418.5,1.15,3.4,79.1,14.7,44.7,77.85,0
B2026-0250,29.75,6.15,27.77,383.7,1.27,3.91,80.2,24.8,41.6,86.86,0
B2026-0251,30.25,6.14,36.85,452.0,1.6,2.98,67.4,28.9,42.1,89.34,0
B2026-0252,29.31,5.81,21.29,446.2,1.15,4.31,76.1,24.0,45.9,81.38,1
B2026-0253,30.32,5.72,40.38,420.8,1.28,3.02,68.8,25.7,37.6,89.54,0
B2026-0254,30.0,5.73,20.82,376.6,1.43,3.02,73.0,20.3,42.2,91.33,1
B2026-0255,29.48,5.94,26.7,427.1,1.41,4.25,66.3,13.4,40.1,83.18,1
B2026-0256,29.83,6.29,47.38,416.2,1.2,3.52,69.1,12.6,32.5,85.03,0
B2026-0257,29.87,5.86,41.02,346.7,0.77,3.1,69.0,21.0,36.5,86.77,0
B2026-0258,29.81,5.48,32.78,339.1,1.29,3.31,76.0,17.6,51.4,86.59,0
B2026-0259,31.24,6.09,24.48,451.1,0.8,4.14,75.6,16.3,44.3,79.94,1
B2026-0260,29.93,6.12,27.77,276.9,1.46,4.21,73.2,19.7,34.1,86.19,1
B2026-0261,29.83,6.03,32.59,431.3,1.23,2.95,65.9,22.5,32.8,87.89,0
B2026-0262,28.53,6.06,32.3,393.7,1.38,3.38,70.6,14.2,41.3,76.92,0
B2026-0263,29.37,5.71,31.27,492.0,1.04,3.45,68.6,18.2,51.4,82.49,0
B2026-0264,29.82,5.47,31.75,392.9,0.92,2.86,75.9,26.0,40.9,89.78,0
B2026-0265,29.52,5.5,30.28,456.3,1.25,3.37,77.3,15.7,49.8,80.35,0
B2026-0266,30.97,5.23,20.46,398.2,1.19,3.4,76.8,23.5,44.1,76.39,1
B2026-0267,29.88,5.88,27.87,426.3,1.11,4.03,68.6,18.1,44.8,87.55,0
B2026-0268,30.9,5.77,39.32,460.5,1.22,4.06,59.7,22.2,34.0,83.43,0
B2026-0269,30.04,5.65,21.05,394.6,1.7,3.22,64.0,24.4,47.6,88.49,1
B2026-0270,30.03,4.77,30.48,474.8,1.35,3.28,78.4,23.0,40.0,82.82,0
B2026-0271,29.94,5.36,25.44,365.3,1.39,3.77,70.2,23.6,47.2,86.57,0
B2026-0272,30.0,6.19,32.89,436.2,1.35,3.08,68.6,15.4,37.1,84.8,0
B2026-0273,31.2,5.57,28.89,470.7,1.47,3.72,79.4,24.5,43.1,77.96,0
B2026-0274,28.38,5.93,43.82,456.3,1.17,3.35,77.7,16.6,44.1,77.42,0
B2026-0275,28.6,5.31,36.05,525.4,0.83,2.87,72.1,21.0,41.1,80.52,0
B2026-0276,29.62,6.3,21.51,378.0,1.17,2.87,70.7,21.0,44.4,86.65,1
B2026-0277,30.01,5.75,37.37,344.1,1.35,4.2,71.4,21.9,40.4,87.33,0
B2026-0278,30.48,5.9,25.8,365.3,1.03,3.31,73.0,21.3,38.1,76.78,0
B2026-0279,30.33,6.61,27.38,456.3,1.17,4.3,79.2,16.6,51.6,80.15,0
B2026-0280,29.73,6.33,34.51,447.4,1.08,3.12,73.9,14.6,48.3,91.99,0
