batch_id,product_id,organism,site,fermenter,start_date,raw_material_lot,supplier,planned_volume_L,production_status,estimated_batch_cost_usd,temperature_C_avg,pH_avg,dissolved_oxygen_pct_avg,agitation_rpm_avg,airflow_vvm_avg,feed_rate_L_hr_avg,fermentation_time_hr,inoculum_age_hr,substrate_concentration_g_L,yield_pct,deviation_flag,sample_id,enzyme_activity_U_mL,protein_concentration_mg_mL,purity_pct,hplc_main_peak_pct,qc_status,analytical_method,instrument_id,analyst,predicted_quality_risk,anomaly_flag
B2026-0011,ENZ-AN-001,Aspergillus niger,Wilmington,F-03,2026-03-15,RM-2871,Supplier_A,5000,Released,49353.0,29.93,5.93,28.87,358.3,0.81,3.42,64.0,17.6,37.4,88.95,0,S00011,806.5,13.5,91.38,91.91,Released,HPLC-ENZ-204,HPLC-03,Analyst_A,0.022,0
B2026-0012,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-04,2026-02-20,RM-7133,Supplier_A,5000,Released,49379.0,29.98,5.95,45.65,500.4,1.04,3.35,74.0,29.2,39.6,83.21,0,S00012,823.8,11.96,92.38,92.65,Released,HPLC-ENZ-204,HPLC-01,Analyst_A,0.0,0
B2026-0013,ENZ-AN-001,Aspergillus niger,Rochester,F-02,2026-06-13,RM-7689,Supplier_A,4000,Released,52487.0,30.16,5.34,35.6,464.5,1.27,3.25,77.5,19.6,52.5,88.06,0,S00013,834.6,12.85,95.25,95.4,Released,HPLC-ENZ-204,HPLC-01,Analyst_B,0.0,0
B2026-0014,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-04,2026-03-14,RM-2101,Supplier_A,4000,Released,61266.0,30.66,6.1,36.51,425.2,1.27,3.83,71.0,26.2,46.6,88.79,0,S00014,926.8,12.15,93.97,93.95,Released,HPLC-ENZ-204,HPLC-03,Analyst_A,0.002,0
B2026-0015,ENZ-AN-001,Aspergillus niger,Wilmington,F-01,2026-02-24,RM-2488,Supplier_A,5000,Released,57279.0,29.22,5.52,32.92,286.0,0.99,2.56,76.5,19.2,38.7,85.06,0,S00015,842.7,13.07,91.81,92.11,Released,HPLC-ENZ-204,HPLC-02,Analyst_B,0.204,0
B2026-0016,ENZ-AN-001,Aspergillus niger,Wilmington,F-01,2026-07-24,RM-7073,Supplier_A,5000,Released,45581.0,29.18,6.02,34.64,365.9,1.23,3.12,68.9,21.0,49.8,85.42,0,S00016,887.1,12.94,96.37,96.53,Released,HPLC-ENZ-204,HPLC-01,Analyst_D,0.0,0
B2026-0017,ENZ-AN-001,Aspergillus niger,Rochester,F-03,2026-04-17,RM-2070,Supplier_A,4000,Released,56410.0,29.23,5.8,38.22,457.8,1.38,3.78,65.3,14.7,37.6,83.51,0,S00017,779.3,12.0,93.32,93.36,Released,HPLC-ENZ-204,HPLC-02,Analyst_C,0.0,0
B2026-0018,ENZ-AN-001,Aspergillus niger,Wilmington,F-03,2026-01-11,RM-8922,Supplier_B,4000,Released,56162.0,30.2,5.32,25.52,486.7,1.34,3.06,72.6,18.2,48.1,88.48,0,S00018,863.1,10.77,94.31,93.86,Released,HPLC-ENZ-204,HPLC-01,Analyst_B,0.012,0
B2026-0019,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-04,2026-04-19,RM-1985,Supplier_A,5000,Released,46761.0,30.87,5.69,39.02,481.0,1.18,2.52,64.1,20.8,33.8,79.3,0,S00019,729.2,12.69,93.41,94.6,Released,HPLC-ENZ-204,HPLC-02,Analyst_B,0.048,0
B2026-0020,ENZ-AN-001,Aspergillus niger,Rochester,F-02,2026-04-12,RM-9767,Supplier_C,5000,Quality Review,57518.0,29.7,5.93,21.02,332.4,1.12,3.77,70.9,26.3,48.4,83.25,1,S00020,792.2,12.23,92.88,92.15,Hold,HPLC-ENZ-204,HPLC-03,Analyst_D,0.98,0
B2026-0021,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-03,2026-07-10,RM-7042,Supplier_C,4000,Released,50958.0,28.25,6.01,34.63,436.6,1.09,4.02,77.8,20.9,39.6,73.49,0,S00021,706.3,10.04,91.48,91.78,Released,HPLC-ENZ-204,HPLC-03,Analyst_C,0.004,0
B2026-0022,ENZ-AN-001,Aspergillus niger,Wilmington,F-03,2026-06-06,RM-4987,Supplier_A,4000,Released,42835.0,28.81,5.75,33.43,475.9,1.28,3.38,63.4,25.5,35.8,80.01,0,S00022,747.5,13.16,95.55,95.32,Released,HPLC-ENZ-204,HPLC-02,Analyst_C,0.0,0
B2026-0023,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-04,2026-02-12,RM-3415,Supplier_A,4000,Released,54959.0,29.42,6.34,27.07,328.8,1.24,2.32,66.2,22.6,40.7,82.12,0,S00023,745.5,13.75,94.42,95.65,Released,HPLC-ENZ-204,HPLC-02,Analyst_D,0.0,0
B2026-0024,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-03,2026-02-03,RM-4100,Supplier_B,5000,Released,53410.0,29.61,6.15,31.82,419.6,1.31,3.79,67.4,26.5,43.7,83.06,0,S00024,745.5,15.79,94.29,93.66,Released,HPLC-ENZ-204,HPLC-03,Analyst_A,0.002,0
B2026-0025,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-02,2026-05-13,RM-7735,Supplier_C,4000,Released,50520.0,29.71,5.71,27.02,435.1,1.22,2.49,71.7,19.8,39.0,89.59,0,S00025,765.8,11.99,94.65,94.14,Released,HPLC-ENZ-204,HPLC-01,Analyst_A,0.0,0
B2026-0026,ENZ-AN-001,Aspergillus niger,Wilmington,F-04,2026-01-11,RM-7779,Supplier_B,3000,Quality Review,51757.0,30.03,6.06,23.43,403.5,1.35,3.57,70.4,29.6,45.3,84.75,1,S00026,777.6,11.8,92.27,91.59,Hold,HPLC-ENZ-204,HPLC-01,Analyst_B,0.998,0
B2026-0027,ENZ-AN-001,Aspergillus niger,Rochester,F-01,2026-03-12,RM-2877,Supplier_C,3000,Released,47326.0,29.78,6.48,29.17,318.1,1.22,2.91,78.3,18.1,38.5,83.04,0,S00027,837.1,11.06,94.84,95.06,Released,HPLC-ENZ-204,HPLC-01,Analyst_B,0.016,0
B2026-0028,ENZ-AN-001,Aspergillus niger,Wilmington,F-04,2026-01-31,RM-5885,Supplier_B,5000,Quality Review,55966.0,30.73,6.49,23.17,402.1,1.34,2.76,76.3,16.9,45.7,86.05,1,S00028,765.6,12.77,92.59,91.63,Hold,HPLC-ENZ-204,HPLC-03,Analyst_A,0.956,0
B2026-0029,ENZ-AN-001,Aspergillus niger,Wilmington,F-01,2026-01-05,RM-9935,Supplier_B,5000,Released,51718.0,29.53,5.37,34.58,402.0,1.36,3.16,74.2,15.2,44.7,81.71,0,S00029,734.7,12.76,93.51,93.18,Released,HPLC-ENZ-204,HPLC-02,Analyst_A,0.0,0
B2026-0030,ENZ-AN-001,Aspergillus niger,Rochester,F-02,2026-07-22,RM-3315,Supplier_A,5000,Quality Review,53082.0,29.4,5.48,22.8,411.9,1.06,3.3,72.7,29.3,41.6,81.89,1,S00030,878.5,11.45,91.22,89.71,Hold,HPLC-ENZ-204,HPLC-01,Analyst_D,0.978,0
B2026-0031,ENZ-AN-001,Aspergillus niger,Rochester,F-04,2026-01-20,RM-7239,Supplier_B,4000,Released,54321.0,30.34,6.32,37.7,389.0,0.87,3.05,73.8,23.3,39.4,77.27,0,S00031,725.4,12.27,90.28,90.45,Released,HPLC-ENZ-204,HPLC-01,Analyst_C,0.008,0
B2026-0032,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-03,2026-01-03,RM-2549,Supplier_A,5000,Quality Review,44495.0,28.93,5.43,22.55,395.6,1.48,3.72,68.1,18.7,42.9,83.8,1,S00032,830.6,9.93,93.76,93.41,Hold,HPLC-ENZ-204,HPLC-01,Analyst_C,0.956,0
B2026-0033,ENZ-AN-001,Aspergillus niger,Wilmington,F-04,2026-07-25,RM-8505,Supplier_B,5000,Released,46187.0,30.27,5.34,27.47,417.8,1.25,3.15,75.9,25.0,45.3,85.79,0,S00033,863.9,13.7,92.61,91.57,Released,HPLC-ENZ-204,HPLC-03,Analyst_A,0.002,0
B2026-0034,ENZ-AN-001,Aspergillus niger,Wilmington,F-03,2026-02-11,RM-2531,Supplier_C,4000,Released,37635.0,30.07,5.63,27.0,444.3,0.89,3.94,67.0,22.8,54.4,91.27,0,S00034,916.9,11.5,91.74,92.5,Released,HPLC-ENZ-204,HPLC-02,Analyst_B,0.016,0
B2026-0035,ENZ-AN-001,Aspergillus niger,Rochester,F-03,2026-06-29,RM-3678,Supplier_A,3000,Released,55671.0,29.9,5.95,42.6,403.3,1.07,3.55,75.8,27.9,47.6,81.6,0,S00035,726.7,12.45,93.81,92.89,Released,HPLC-ENZ-204,HPLC-01,Analyst_C,0.0,0
B2026-0036,ENZ-AN-001,Aspergillus niger,Wilmington,F-02,2026-01-07,RM-5132,Supplier_B,5000,Released,44121.0,31.11,5.76,34.64,397.5,1.34,3.02,77.3,13.8,47.9,83.27,0,S00036,800.7,10.65,95.87,96.43,Released,HPLC-ENZ-204,HPLC-01,Analyst_C,0.13,0
B2026-0037,ENZ-AN-001,Aspergillus niger,Wilmington,F-01,2026-02-03,RM-4335,Supplier_A,3000,Released,52862.0,29.56,5.57,30.31,425.1,1.15,2.92,72.9,18.9,60.5,86.67,0,S00037,770.5,11.74,95.33,94.84,Released,HPLC-ENZ-204,HPLC-02,Analyst_C,0.008,0
B2026-0038,ENZ-AN-001,Aspergillus niger,Rochester,F-01,2026-01-25,RM-2530,Supplier_B,4000,Quality Review,54411.0,31.44,5.56,35.99,314.3,1.11,2.49,71.2,18.1,45.1,79.89,1,S00038,889.1,12.14,92.68,93.8,Hold,HPLC-ENZ-204,HPLC-02,Analyst_C,0.878,0
B2026-0039,ENZ-AN-001,Aspergillus niger,Wilmington,F-02,2026-06-05,RM-6768,Supplier_A,4000,Quality Review,55915.0,29.84,5.55,15.14,446.2,1.45,3.56,73.8,12.1,44.9,78.86,1,S00039,697.4,12.49,92.9,93.42,Hold,HPLC-ENZ-204,HPLC-03,Analyst_B,0.994,0
B2026-0040,ENZ-AN-001,Aspergillus niger,Rochester,F-01,2026-05-17,RM-1177,Supplier_C,4000,Released,44174.0,29.11,5.49,31.65,420.0,1.01,3.2,59.1,24.2,46.2,85.4,0,S00040,784.2,13.12,94.61,93.9,Released,HPLC-ENZ-204,HPLC-01,Analyst_D,0.004,1
B2026-0041,ENZ-AN-001,Aspergillus niger,Wilmington,F-03,2026-04-15,RM-9850,Supplier_A,4000,Released,51576.0,30.05,6.6,47.98,422.2,1.06,2.1,73.4,18.9,35.9,86.5,0,S00041,794.9,14.37,95.0,94.35,Released,HPLC-ENZ-204,HPLC-01,Analyst_B,0.0,1
B2026-0042,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-04,2026-02-23,RM-1468,Supplier_C,5000,Released,62857.0,29.25,5.9,33.06,472.8,1.24,3.11,71.5,23.0,39.3,83.11,0,S00042,742.2,13.45,92.9,93.32,Released,HPLC-ENZ-204,HPLC-01,Analyst_A,0.0,0
B2026-0043,ENZ-AN-001,Aspergillus niger,Rochester,F-04,2026-01-20,RM-4004,Supplier_C,4000,Released,63143.0,29.47,6.11,32.54,312.6,1.27,2.9,71.8,29.4,39.0,84.49,0,S00043,883.5,13.75,93.49,93.31,Released,HPLC-ENZ-204,HPLC-02,Analyst_D,0.084,0
B2026-0044,ENZ-AN-001,Aspergillus niger,Wilmington,F-02,2026-05-06,RM-9368,Supplier_B,5000,Released,58418.0,30.28,5.63,36.39,311.4,1.29,4.27,75.2,18.6,45.9,80.74,0,S00044,896.1,14.38,93.44,93.32,Released,HPLC-ENZ-204,HPLC-03,Analyst_A,0.264,0
B2026-0045,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-04,2026-02-20,RM-2395,Supplier_B,4000,Released,54194.0,30.39,5.73,39.16,435.1,1.36,2.46,71.7,18.3,41.0,80.73,0,S00045,765.5,13.24,93.74,94.63,Released,HPLC-ENZ-204,HPLC-02,Analyst_B,0.0,0
B2026-0046,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-04,2026-05-10,RM-1656,Supplier_B,4000,Quality Review,45467.0,29.56,5.55,16.02,419.6,1.24,2.61,66.9,20.5,42.8,77.02,1,S00046,692.3,12.45,92.54,92.02,Hold,HPLC-ENZ-204,HPLC-01,Analyst_A,0.996,0
B2026-0047,ENZ-AN-001,Aspergillus niger,Wilmington,F-04,2026-06-01,RM-7694,Supplier_C,5000,Quality Review,56671.0,30.69,4.87,18.54,429.4,1.29,4.01,71.4,23.9,48.5,73.4,1,S00047,616.7,13.81,92.2,92.26,Failed,HPLC-ENZ-204,HPLC-02,Analyst_A,0.936,0
B2026-0048,ENZ-AN-001,Aspergillus niger,Wilmington,F-02,2026-07-06,RM-1658,Supplier_A,3000,Released,50973.0,30.81,5.32,33.68,394.6,1.15,4.15,72.3,17.7,47.2,85.5,0,S00048,821.3,13.89,95.21,95.87,Released,HPLC-ENZ-204,HPLC-02,Analyst_B,0.058,0
B2026-0049,ENZ-AN-001,Aspergillus niger,Rochester,F-02,2026-04-19,RM-9095,Supplier_B,4000,Quality Review,55643.0,31.01,5.17,26.28,456.5,1.21,2.99,72.5,17.5,41.0,81.92,1,S00049,784.0,13.34,94.64,95.21,Hold,HPLC-ENZ-204,HPLC-01,Analyst_A,0.708,0
B2026-0050,ENZ-AN-001,Aspergillus niger,Wilmington,F-04,2026-01-02,RM-5060,Supplier_A,5000,Released,47887.0,30.37,5.01,42.5,471.3,1.22,3.05,72.7,24.2,38.0,83.36,0,S00050,782.6,10.61,93.91,93.8,Released,HPLC-ENZ-204,HPLC-03,Analyst_B,0.02,0
B2026-0051,ENZ-AN-001,Aspergillus niger,Wilmington,F-01,2026-03-03,RM-8823,Supplier_B,3000,Released,50876.0,30.95,5.38,29.48,446.6,1.24,3.74,76.7,21.5,48.8,81.11,0,S00051,800.5,11.41,95.17,94.97,Released,HPLC-ENZ-204,HPLC-02,Analyst_D,0.07,0
B2026-0052,ENZ-AN-001,Aspergillus niger,Wilmington,F-02,2026-07-07,RM-3205,Supplier_A,3000,Released,53067.0,28.68,6.26,16.52,405.7,1.34,2.12,67.1,11.8,46.6,74.72,0,S00052,747.6,12.14,92.01,90.79,Released,HPLC-ENZ-204,HPLC-01,Analyst_A,0.972,1
B2026-0053,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-01,2026-04-28,RM-2270,Supplier_B,4000,Quality Review,53601.0,29.78,5.78,21.86,304.1,1.3,2.38,72.8,15.1,32.4,81.99,1,S00053,813.4,13.51,95.15,94.41,Hold,HPLC-ENZ-204,HPLC-02,Analyst_D,0.996,0
B2026-0054,ENZ-AN-001,Aspergillus niger,Rochester,F-04,2026-05-17,RM-9663,Supplier_B,5000,Quality Review,55209.0,29.39,6.25,10.0,462.3,1.21,3.25,77.8,26.0,40.1,73.54,1,S00054,704.4,12.47,93.01,93.23,Hold,HPLC-ENZ-204,HPLC-03,Analyst_B,0.992,1
B2026-0055,ENZ-AN-001,Aspergillus niger,Rochester,F-03,2026-04-11,RM-7858,Supplier_A,4000,Released,48235.0,30.08,5.94,30.13,487.2,1.05,4.25,64.2,21.6,43.0,83.0,0,S00055,758.9,13.98,97.23,97.13,Released,HPLC-ENZ-204,HPLC-03,Analyst_C,0.212,0
B2026-0056,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-01,2026-02-05,RM-9197,Supplier_B,4000,Released,43269.0,29.6,6.07,30.49,455.5,1.21,3.16,72.8,17.0,46.7,85.59,0,S00056,863.1,14.21,92.13,92.18,Released,HPLC-ENZ-204,HPLC-01,Analyst_B,0.0,0
B2026-0057,ENZ-AN-001,Aspergillus niger,Rochester,F-01,2026-07-17,RM-3878,Supplier_B,5000,Released,62561.0,29.88,5.48,28.6,371.6,1.19,3.46,69.4,19.3,47.5,84.55,0,S00057,823.8,14.06,92.63,93.36,Released,HPLC-ENZ-204,HPLC-03,Analyst_B,0.0,0
B2026-0058,ENZ-AN-001,Aspergillus niger,Rochester,F-03,2026-06-20,RM-4642,Supplier_B,4000,Quality Review,68180.0,31.32,5.98,40.63,457.1,1.23,4.02,70.3,20.1,43.7,82.98,1,S00058,848.3,14.07,93.8,92.97,Hold,HPLC-ENZ-204,HPLC-02,Analyst_A,0.86,0
B2026-0059,ENZ-AN-001,Aspergillus niger,Wilmington,F-03,2026-08-07,RM-6194,Supplier_A,4000,Quality Review,54908.0,29.88,6.06,41.59,467.3,1.6,4.56,67.9,22.9,45.5,85.29,1,S00059,865.8,11.15,94.01,93.84,Hold,HPLC-ENZ-204,HPLC-02,Analyst_C,0.958,0
B2026-0060,ENZ-AN-001,Aspergillus niger,Wilmington,F-04,2026-07-08,RM-5038,Supplier_B,4000,Released,43394.0,30.29,5.6,30.64,505.7,1.11,3.08,71.2,14.6,42.4,81.65,0,S00060,731.7,13.13,95.51,95.64,Released,HPLC-ENZ-204,HPLC-01,Analyst_D,0.0,0
B2026-0061,ENZ-AN-001,Aspergillus niger,Rochester,F-02,2026-03-06,RM-3183,Supplier_C,4000,Quality Review,46974.0,29.84,6.0,14.92,371.8,1.28,3.39,80.3,16.6,38.0,85.03,1,S00061,763.2,11.71,92.7,92.21,Hold,HPLC-ENZ-204,HPLC-03,Analyst_C,0.97,0
B2026-0062,ENZ-AN-001,Aspergillus niger,Rochester,F-04,2026-02-25,RM-4375,Supplier_A,4000,Quality Review,55309.0,30.05,6.0,36.94,407.5,1.39,4.4,66.3,21.1,40.4,88.45,1,S00062,826.3,10.36,94.93,95.93,Hold,HPLC-ENZ-204,HPLC-03,Analyst_C,0.946,0
B2026-0063,ENZ-AN-001,Aspergillus niger,Rochester,F-02,2026-02-24,RM-6478,Supplier_A,4000,Released,60717.0,30.0,5.61,36.44,461.1,1.22,2.56,66.7,19.6,42.1,89.53,0,S00063,823.0,12.13,95.35,95.98,Released,HPLC-ENZ-204,HPLC-01,Analyst_C,0.0,0
B2026-0064,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-04,2026-07-22,RM-1340,Supplier_A,3000,Released,44116.0,30.31,5.41,34.48,423.2,1.62,3.97,66.1,22.3,41.8,88.06,0,S00064,890.5,14.22,94.65,94.85,Released,HPLC-ENZ-204,HPLC-02,Analyst_B,0.012,0
B2026-0065,ENZ-AN-001,Aspergillus niger,Rochester,F-01,2026-05-03,RM-4023,Supplier_B,4000,Released,51192.0,30.82,5.39,39.85,358.5,1.13,2.84,79.8,15.1,30.7,76.74,0,S00065,764.8,13.1,91.52,92.78,Released,HPLC-ENZ-204,HPLC-03,Analyst_A,0.02,1
B2026-0066,ENZ-AN-001,Aspergillus niger,Rochester,F-01,2026-04-10,RM-3635,Supplier_A,4000,Quality Review,53274.0,31.15,5.83,22.68,442.8,1.26,3.46,69.9,21.4,39.6,83.19,1,S00066,859.8,15.12,95.01,93.96,Hold,HPLC-ENZ-204,HPLC-02,Analyst_C,0.996,0
B2026-0067,ENZ-AN-001,Aspergillus niger,Rochester,F-01,2026-08-02,RM-1632,Supplier_B,4000,Released,57620.0,30.22,5.91,48.07,451.8,1.06,3.27,71.9,24.4,42.3,84.63,0,S00067,841.8,12.73,94.94,94.93,Released,HPLC-ENZ-204,HPLC-01,Analyst_D,0.0,0
B2026-0068,ENZ-AN-001,Aspergillus niger,Wilmington,F-02,2026-05-13,RM-2103,Supplier_B,3000,Released,49767.0,30.41,5.52,24.32,424.8,1.14,2.87,70.2,21.9,40.3,79.24,0,S00068,782.2,15.68,93.64,93.9,Released,HPLC-ENZ-204,HPLC-03,Analyst_B,0.144,0
B2026-0069,ENZ-AN-001,Aspergillus niger,Wilmington,F-04,2026-07-20,RM-5460,Supplier_A,4000,Released,41835.0,29.19,5.81,37.99,432.1,1.24,2.86,67.8,20.6,40.5,85.23,0,S00069,883.7,12.73,93.77,93.13,Released,HPLC-ENZ-204,HPLC-01,Analyst_D,0.0,0
B2026-0070,ENZ-AN-001,Aspergillus niger,Wilmington,F-01,2026-08-05,RM-1921,Supplier_C,5000,Quality Review,56038.0,29.94,6.0,18.5,405.8,1.35,3.55,70.9,19.6,44.9,89.92,1,S00070,895.4,12.53,94.26,94.47,Hold,HPLC-ENZ-204,HPLC-02,Analyst_D,1.0,0
B2026-0071,ENZ-AN-001,Aspergillus niger,Wilmington,F-02,2026-01-18,RM-4103,Supplier_B,4000,Released,59311.0,30.66,6.02,24.56,501.3,1.26,3.95,83.1,16.7,35.5,80.46,0,S00071,787.4,10.84,92.95,92.18,Released,HPLC-ENZ-204,HPLC-02,Analyst_A,0.26,0
B2026-0072,ENZ-AN-001,Aspergillus niger,Wilmington,F-01,2026-03-21,RM-6047,Supplier_A,3000,Released,51463.0,30.61,6.34,44.13,370.5,1.43,3.33,78.3,19.7,32.2,81.69,0,S00072,862.6,13.94,93.94,94.42,Released,HPLC-ENZ-204,HPLC-03,Analyst_C,0.006,0
B2026-0073,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-04,2026-06-11,RM-8863,Supplier_A,4000,Released,54634.0,30.15,6.25,29.91,387.7,1.18,3.44,68.2,25.0,39.9,81.47,0,S00073,799.2,11.85,93.18,93.93,Released,HPLC-ENZ-204,HPLC-02,Analyst_C,0.0,0
B2026-0074,ENZ-AN-001,Aspergillus niger,Wilmington,F-03,2026-06-28,RM-1888,Supplier_A,5000,Released,48916.0,30.62,5.45,38.72,420.6,1.14,3.71,74.9,19.5,46.6,89.17,0,S00074,853.4,11.66,92.9,93.09,Released,HPLC-ENZ-204,HPLC-03,Analyst_B,0.002,0
B2026-0075,ENZ-AN-001,Aspergillus niger,Wilmington,F-04,2026-02-02,RM-4911,Supplier_A,4000,Released,46502.0,30.34,6.39,33.9,468.3,1.69,2.87,68.3,16.4,52.1,84.8,0,S00075,787.9,14.17,92.22,90.92,Released,HPLC-ENZ-204,HPLC-03,Analyst_C,0.014,1
B2026-0076,ENZ-AN-001,Aspergillus niger,Wilmington,F-03,2026-03-12,RM-1926,Supplier_A,5000,Released,58672.0,30.84,5.61,31.16,337.6,1.27,3.81,64.0,18.0,46.7,81.1,0,S00076,822.1,14.01,92.21,91.53,Released,HPLC-ENZ-204,HPLC-03,Analyst_D,0.01,0
B2026-0077,ENZ-AN-001,Aspergillus niger,Wilmington,F-03,2026-05-01,RM-4856,Supplier_C,4000,Released,54519.0,30.2,6.17,42.91,347.9,1.07,3.85,76.6,20.8,33.2,83.35,0,S00077,867.5,13.97,93.6,94.0,Released,HPLC-ENZ-204,HPLC-03,Analyst_C,0.002,0
B2026-0078,ENZ-AN-001,Aspergillus niger,Rochester,F-04,2026-06-25,RM-5324,Supplier_A,3000,Quality Review,55187.0,29.75,5.82,30.11,307.9,1.08,4.83,77.2,18.5,40.6,81.4,1,S00078,791.0,12.03,93.11,93.12,Hold,HPLC-ENZ-204,HPLC-03,Analyst_D,0.948,0
B2026-0079,ENZ-AN-001,Aspergillus niger,Rochester,F-01,2026-01-25,RM-8192,Supplier_A,5000,Quality Review,61764.0,30.24,5.66,17.75,421.8,1.03,3.19,76.7,21.9,43.5,89.58,1,S00079,929.8,12.43,94.22,92.33,Hold,HPLC-ENZ-204,HPLC-03,Analyst_D,1.0,0
B2026-0080,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-04,2026-05-13,RM-4980,Supplier_B,4000,Released,45144.0,27.95,5.17,25.57,358.5,1.37,3.15,69.9,22.1,43.1,72.33,0,S00080,618.5,12.42,92.83,93.7,Released,HPLC-ENZ-204,HPLC-03,Analyst_D,0.016,0
B2026-0081,ENZ-AN-001,Aspergillus niger,Rochester,F-03,2026-03-07,RM-9418,Supplier_B,3000,Released,48412.0,30.27,5.74,36.41,398.8,1.13,3.82,71.2,23.6,45.2,86.24,0,S00081,836.8,13.52,92.87,92.97,Released,HPLC-ENZ-204,HPLC-02,Analyst_D,0.0,0
