batch_id,hour,pH,temperature_C,dissolved_oxygen_pct,feed_rate_L_hr,biomass_g_L
B2026-0004,42,5.16,29.27,41.74,2.84,32.58
B2026-0004,48,5.11,29.28,43.35,2.86,32.04
B2026-0004,54,5.07,29.35,40.03,3.05,31.45
B2026-0004,60,5.07,29.27,38.52,3.35,35.02
B2026-0004,66,5.07,29.38,37.1,3.47,32.64
B2026-0004,72,4.95,29.3,34.43,3.77,32.98
B2026-0005,0,6.01,30.63,44.94,1.07,2.36
B2026-0005,6,6.09,30.71,43.5,1.36,14.39
B2026-0005,12,5.92,30.8,47.61,1.29,18.94
B2026-0005,18,5.94,30.47,40.31,1.93,23.43
B2026-0005,24,5.89,30.48,40.59,1.92,24.36
B2026-0005,30,6.02,30.41,37.7,2.23,29.97
B2026-0005,36,5.97,30.59,33.36,2.34,30.21
B2026-0005,42,5.8,30.25,36.45,2.59,34.23
B2026-0005,48,5.88,30.47,34.1,2.8,33.78
B2026-0005,54,5.7,30.34,31.06,3.11,32.97
B2026-0005,60,5.75,30.39,33.53,3.23,36.32
B2026-0005,66,5.59,30.51,27.5,3.57,35.41
B2026-0005,72,5.7,30.69,26.08,3.86,33.26
B2026-0006,0,5.74,29.87,27.04,1.53,1.13
B2026-0006,6,5.76,30.27,28.58,1.71,10.69
B2026-0006,12,5.75,29.7,26.97,2.04,21.83
B2026-0006,18,5.57,30.18,22.97,2.31,21.54
B2026-0006,24,5.67,30.15,25.15,2.76,25.94
B2026-0006,30,5.53,29.84,22.95,2.83,31.37
B2026-0006,36,5.58,30.09,17.8,3.29,30.78
B2026-0006,42,5.49,30.15,16.55,3.4,32.89
B2026-0006,48,5.46,30.12,14.34,3.63,35.45
B2026-0006,54,5.52,30.18,12.89,4.03,35.53
B2026-0006,60,5.36,29.95,15.83,4.34,36.55
B2026-0006,66,5.26,30.12,14.64,4.64,33.81
B2026-0006,72,5.23,30.21,7.38,4.91,32.58
B2026-0007,0,6.21,28.85,44.41,0.98,6.3
B2026-0007,6,6.06,28.51,39.37,1.26,10.61
B2026-0007,12,6.0,28.79,40.56,1.59,18.0
B2026-0007,18,6.0,28.96,39.03,1.81,21.25
B2026-0007,24,6.04,28.6,40.24,1.96,27.75
B2026-0007,30,5.95,28.61,38.74,2.1,30.31
B2026-0007,36,5.85,28.73,34.05,2.41,29.19
B2026-0007,42,5.84,28.68,32.31,2.61,32.19
B2026-0007,48,5.75,28.66,29.8,3.11,34.43
B2026-0007,54,5.76,28.85,26.27,2.74,32.86
B2026-0007,60,5.62,28.64,29.05,3.37,32.19
B2026-0007,66,5.69,28.68,27.75,3.41,36.28
B2026-0007,72,5.61,28.94,23.89,3.77,34.34
B2026-0008,0,5.57,28.72,44.1,0.4,1.0
B2026-0008,6,5.62,28.81,46.89,0.86,10.85
B2026-0008,12,5.48,28.63,39.52,1.19,22.44
B2026-0008,18,5.49,28.63,37.36,1.32,23.71
B2026-0008,24,5.41,28.7,37.19,1.29,24.66
B2026-0008,30,5.45,28.61,39.1,1.38,28.94
B2026-0008,36,5.27,28.74,33.45,1.49,30.81
B2026-0008,42,5.31,28.37,33.15,1.78,31.43
B2026-0008,48,5.24,28.65,31.78,1.69,32.79
B2026-0008,54,5.27,28.47,29.7,1.79,34.87
B2026-0008,60,5.17,28.5,29.05,1.95,32.34
B2026-0008,66,5.04,28.47,30.0,2.14,34.91
B2026-0008,72,5.04,28.74,23.65,2.37,34.51
B2026-0009,0,6.02,30.09,61.58,1.37,7.21
B2026-0009,6,5.74,29.87,60.71,1.48,12.29
B2026-0009,12,5.72,30.2,56.76,1.75,20.65
B2026-0009,18,5.76,29.84,55.32,1.99,22.46
B2026-0009,24,5.73,29.78,58.06,2.28,27.11
B2026-0009,30,5.76,29.93,53.4,2.45,28.86
B2026-0009,36,5.63,29.87,49.22,2.69,31.34
B2026-0009,42,5.6,30.17,55.6,3.09,34.07
B2026-0009,48,5.6,30.25,53.8,3.36,33.91
B2026-0009,54,5.5,29.99,47.84,3.57,32.38
B2026-0009,60,5.46,29.64,50.38,3.71,34.58
B2026-0009,66,5.51,30.04,48.24,3.83,37.8
B2026-0009,72,5.45,30.02,46.62,4.09,34.0
B2026-0010,0,6.29,29.57,35.46,1.12,6.95
B2026-0010,6,6.07,30.09,31.64,1.2,10.95
B2026-0010,12,6.05,29.91,28.95,1.55,18.09
B2026-0010,18,6.0,29.77,30.27,1.63,23.65
B2026-0010,24,6.08,30.01,27.39,1.73,26.94
B2026-0010,30,6.02,29.63,24.65,1.97,28.83
B2026-0010,36,5.91,29.95,21.63,2.07,30.3
B2026-0010,42,5.9,29.63,22.05,2.41,31.4
B2026-0010,48,5.88,29.75,24.63,2.72,31.64
B2026-0010,54,5.83,29.86,22.52,2.79,34.61
B2026-0010,60,5.79,30.07,21.09,3.09,33.5
B2026-0010,66,5.77,29.82,20.29,3.28,33.6
B2026-0010,72,5.67,29.66,16.46,3.37,36.08
B2026-0011,0,6.2,29.95,45.18,0.94,7.03
B2026-0011,6,6.21,29.95,42.43,1.51,13.2
B2026-0011,12,6.25,30.01,43.23,1.72,22.03
B2026-0011,18,6.21,29.66,43.35,1.81,25.84
B2026-0011,24,6.11,30.09,35.16,2.19,26.45
B2026-0011,30,6.16,29.99,36.83,2.08,29.02
B2026-0011,36,6.05,29.96,35.3,2.52,30.88
B2026-0011,42,6.06,29.59,32.97,2.76,30.63
B2026-0011,48,5.97,30.11,32.29,3.01,34.16
B2026-0011,54,5.96,29.91,27.24,3.18,34.71
B2026-0011,60,5.86,29.77,23.67,3.58,33.07
B2026-0011,66,5.84,30.11,22.84,3.7,33.95
B2026-0011,72,5.8,30.11,21.22,4.01,35.98
B2026-0012,0,6.28,29.96,60.48,1.21,4.87
B2026-0012,6,6.29,29.83,60.04,1.54,13.07
B2026-0012,12,6.12,29.96,56.87,1.48,18.54
B2026-0012,18,6.09,30.07,55.23,1.65,24.12
B2026-0012,24,6.13,30.06,52.53,1.97,25.67
B2026-0012,30,6.06,29.98,52.03,2.27,28.51
B2026-0012,36,6.03,30.36,48.61,2.45,35.75
B2026-0012,42,6.03,29.77,50.25,2.63,33.36
B2026-0012,48,5.95,29.91,50.2,3.03,34.31
B2026-0012,54,5.95,29.91,46.62,3.33,33.66
B2026-0012,60,5.99,30.11,44.24,3.44,34.1
B2026-0012,66,5.76,29.97,42.67,3.58,34.71
B2026-0012,72,5.8,30.1,41.97,3.88,32.38
B2026-0013,0,5.8,30.14,49.44,1.1,3.27
B2026-0013,6,5.74,30.37,48.91,1.34,13.72
B2026-0013,12,5.61,30.13,47.11,1.52,19.46
B2026-0013,18,5.58,30.25,43.61,1.87,22.24
B2026-0013,24,5.49,30.08,41.12,2.13,25.37
B2026-0013,30,5.44,30.35,40.54,2.2,27.63
B2026-0013,36,5.49,30.28,41.58,2.5,30.91
B2026-0013,42,5.36,30.04,41.1,2.75,30.95
B2026-0013,48,5.36,30.11,34.68,2.89,32.22
B2026-0013,54,5.26,29.94,32.22,3.04,33.33
B2026-0013,60,5.22,30.26,33.64,3.37,33.62
B2026-0013,66,5.18,30.18,29.66,3.58,32.8
B2026-0013,72,5.24,30.11,32.72,3.6,33.42
B2026-0014,0,6.47,30.84,53.84,1.35,6.76
B2026-0014,6,6.39,30.83,47.04,1.65,9.27
B2026-0014,12,6.3,30.73,44.71,1.9,20.44
B2026-0014,18,6.29,30.52,44.81,1.99,23.44
B2026-0014,24,6.29,30.62,47.52,2.28,28.92
B2026-0014,30,6.18,30.67,44.96,2.76,28.51
B2026-0014,36,6.23,30.73,39.93,2.95,33.6
B2026-0014,42,6.19,30.75,40.77,2.96,32.68
B2026-0014,48,6.05,30.57,42.16,3.36,31.74
B2026-0014,54,6.14,30.52,35.36,3.79,33.52
B2026-0014,60,5.94,30.74,33.88,4.08,32.98
B2026-0014,66,6.05,30.93,31.39,4.13,34.79
B2026-0014,72,5.9,30.7,31.06,4.38,34.51
B2026-0015,0,5.87,29.25,45.72,0.83,3.82
B2026-0015,6,5.83,29.16,45.98,0.85,11.69
B2026-0015,12,5.77,29.09,47.01,1.24,19.35
B2026-0015,18,5.72,29.22,39.74,1.39,22.19
B2026-0015,24,5.69,28.84,38.33,1.75,28.07
B2026-0015,30,5.74,29.43,40.35,1.69,27.59
B2026-0015,36,5.69,29.23,42.4,1.87,33.76
B2026-0015,42,5.57,29.42,39.23,1.97,31.27
B2026-0015,48,5.47,29.04,35.58,2.24,32.92
B2026-0015,54,5.53,28.94,35.24,2.39,34.26
B2026-0015,60,5.49,29.43,30.87,2.34,33.98
B2026-0015,66,5.42,29.07,29.79,2.73,32.19
B2026-0015,72,5.41,29.14,27.1,2.88,36.29
B2026-0016,0,6.37,29.19,47.76,1.15,6.02
B2026-0016,6,6.37,29.28,48.27,1.13,11.47
B2026-0016,12,6.28,29.07,43.34,1.28,17.06
B2026-0016,18,6.23,29.17,42.3,1.72,22.94
B2026-0016,24,6.27,29.16,43.7,1.95,24.73
B2026-0016,30,6.16,28.99,40.51,2.04,29.72
B2026-0016,36,6.04,29.18,40.28,2.45,29.66
B2026-0016,42,6.08,29.21,40.65,2.37,30.63
B2026-0016,48,6.21,29.14,32.19,2.68,28.69
B2026-0016,54,6.01,29.3,32.57,2.9,34.84
B2026-0016,60,5.85,28.98,32.35,3.08,33.45
B2026-0016,66,5.84,29.21,30.92,3.44,34.51
B2026-0016,72,5.88,28.96,30.62,3.54,34.18
B2026-0017,0,6.21,29.13,54.92,1.5,5.13
B2026-0017,6,6.05,28.91,52.8,1.59,11.67
B2026-0017,12,6.13,29.11,48.21,1.89,17.41
B2026-0017,18,6.01,29.4,47.89,2.23,25.3
B2026-0017,24,5.98,28.88,43.68,2.42,24.5
B2026-0017,30,5.92,29.29,47.24,2.51,28.18
B2026-0017,36,5.89,29.29,42.41,2.96,29.61
B2026-0017,42,5.86,29.3,40.34,3.18,32.22
B2026-0017,48,5.86,29.26,40.31,3.26,31.9
B2026-0017,54,5.84,29.33,35.92,3.61,29.9
B2026-0017,60,5.7,29.38,36.14,3.85,29.37
B2026-0017,66,5.66,29.29,35.73,4.21,33.89
B2026-0017,72,5.64,29.03,32.81,4.19,31.66
B2026-0018,0,5.6,30.43,38.98,1.1,3.23
B2026-0018,6,5.52,30.34,33.6,1.21,12.71
B2026-0018,12,5.6,30.09,32.68,1.38,17.96
B2026-0018,18,5.5,30.35,32.35,1.72,23.83
B2026-0018,24,5.56,30.18,34.77,1.87,27.48
B2026-0018,30,5.37,29.81,32.36,2.14,29.86
B2026-0018,36,5.39,30.43,29.1,2.35,31.7
B2026-0018,42,5.48,30.15,27.13,2.32,34.32
B2026-0018,48,5.36,30.27,33.09,2.74,30.89
B2026-0018,54,5.28,30.06,24.48,2.86,32.58
B2026-0018,60,5.17,30.44,24.29,3.09,35.03
B2026-0018,66,5.24,30.24,23.48,3.33,35.21
B2026-0018,72,5.21,30.23,20.08,3.71,33.72
B2026-0019,0,6.06,30.93,51.81,0.78,3.47
B2026-0019,6,5.97,30.65,50.14,1.08,14.69
B2026-0019,12,5.99,30.48,51.14,1.15,19.76
B2026-0019,18,5.91,30.84,48.07,1.38,25.61
B2026-0019,24,5.87,31.03,48.57,1.63,24.15
B2026-0019,30,5.9,30.8,46.54,1.6,27.37
B2026-0019,36,5.91,30.73,45.82,1.9,30.17
B2026-0019,42,5.74,30.68,41.91,1.92,31.4
B2026-0019,48,5.76,30.91,37.39,2.32,32.84
B2026-0019,54,5.63,30.98,38.44,2.25,36.23
B2026-0019,60,5.62,30.86,36.38,2.7,33.11
B2026-0019,66,5.49,30.77,38.26,2.82,33.83
B2026-0019,72,5.62,30.98,33.49,2.87,34.93
B2026-0020,0,6.23,29.7,35.63,1.12,3.72
B2026-0020,6,6.22,29.85,29.74,1.52,12.06
B2026-0020,12,6.25,29.69,35.44,1.9,18.47
B2026-0020,18,6.17,29.64,31.98,1.91,22.36
B2026-0020,24,6.14,29.88,24.28,2.49,26.62
B2026-0020,30,5.96,29.25,24.04,2.57,29.05
B2026-0020,36,6.07,29.62,23.3,2.78,30.86
B2026-0020,42,6.0,29.58,25.74,3.0,30.69
B2026-0020,48,5.91,29.86,22.08,3.24,34.24
B2026-0020,54,6.03,29.73,23.23,3.7,32.55
B2026-0020,60,5.86,29.51,18.77,3.76,33.29
B2026-0020,66,5.77,29.65,18.66,4.07,31.41
B2026-0020,72,5.73,29.47,16.5,4.39,34.82
B2026-0021,0,6.32,28.29,47.69,1.27,5.11
B2026-0021,6,6.37,28.39,45.83,1.82,12.05
B2026-0021,12,6.32,28.17,45.01,1.65,18.63
B2026-0021,18,6.25,28.19,47.39,2.07,22.75
B2026-0021,24,6.14,28.16,44.36,2.65,25.78
B2026-0021,30,6.11,28.08,43.32,2.88,28.99
B2026-0021,36,6.03,28.05,39.47,3.08,27.71
B2026-0021,42,6.05,28.49,37.11,3.46,32.97
B2026-0021,48,5.97,28.2,35.7,3.43,31.39
B2026-0021,54,6.08,28.1,36.53,3.76,33.42
B2026-0021,60,5.98,28.16,33.93,3.84,34.55
B2026-0021,66,5.76,28.21,32.92,4.43,32.26
B2026-0021,72,5.79,28.15,30.0,4.38,34.41
B2026-0022,0,6.12,28.76,48.48,1.21,3.19
B2026-0022,6,5.94,28.83,43.94,1.34,13.51
B2026-0022,12,6.1,28.8,45.37,1.46,19.45
B2026-0022,18,5.97,28.99,41.6,1.83,25.18
B2026-0022,24,5.93,28.64,46.2,1.95,26.73
B2026-0022,30,5.91,28.85,39.13,2.28,28.79
B2026-0022,36,5.78,29.13,37.49,2.6,30.3
B2026-0022,42,5.79,28.74,33.25,2.74,31.38
B2026-0022,48,5.84,28.63,33.61,2.87,35.01
B2026-0022,54,5.67,28.89,35.12,3.19,31.39
B2026-0022,60,5.6,28.94,29.08,3.48,34.07
B2026-0022,66,5.66,28.88,28.15,3.54,35.28
B2026-0022,72,5.56,28.39,29.73,3.76,35.13
B2026-0023,0,6.77,29.42,43.06,0.83,6.38
B2026-0023,6,6.58,29.42,40.83,0.94,14.52
B2026-0023,12,6.58,29.73,42.15,1.16,19.91
B2026-0023,18,6.63,29.24,33.7,1.43,24.01
B2026-0023,24,6.51,29.42,29.96,1.41,25.7
B2026-0023,30,6.53,29.57,34.31,1.63,26.9
B2026-0023,36,6.47,29.51,34.06,2.0,28.27
B2026-0023,42,6.37,29.31,30.33,1.9,31.64
B2026-0023,48,6.41,29.25,26.32,1.93,32.31
B2026-0023,54,6.24,29.41,26.49,2.11,34.77
B2026-0023,60,6.27,29.58,24.85,2.36,33.05
B2026-0023,66,6.23,29.52,22.83,2.58,32.99
B2026-0023,72,6.23,29.33,23.77,2.68,36.71
B2026-0024,0,6.43,29.39,44.59,1.16,1.93
B2026-0024,6,6.5,29.61,43.28,1.53,11.89
B2026-0024,12,6.52,29.5,40.01,1.93,18.76
B2026-0024,18,6.5,29.53,42.76,2.21,22.81
B2026-0024,24,6.29,29.72,40.63,2.17,25.14
B2026-0024,30,6.14,29.7,37.38,2.57,26.61
B2026-0024,36,6.19,29.54,34.97,2.86,31.68
B2026-0024,42,6.35,29.61,36.97,2.99,29.48
B2026-0024,48,6.15,29.37,33.18,3.25,29.91
B2026-0024,54,6.23,29.53,28.29,3.71,32.36
B2026-0024,60,6.15,29.5,28.9,3.89,34.78
B2026-0024,66,6.09,29.6,29.46,4.19,34.51
B2026-0024,72,5.99,29.39,28.02,4.36,33.81
B2026-0025,0,6.14,29.5,44.31,0.87,4.48
B2026-0025,6,5.99,29.46,39.16,1.08,13.8
B2026-0025,12,5.96,29.39,34.77,1.45,17.45
B2026-0025,18,6.02,29.57,35.9,1.44,22.37
B2026-0025,24,5.99,29.73,35.61,1.5,27.82
B2026-0025,30,5.95,29.69,36.56,1.63,30.29
B2026-0025,36,5.84,29.55,31.95,1.87,29.52
B2026-0025,42,5.79,29.74,29.79,2.02,31.86
B2026-0025,48,5.7,29.74,27.07,2.52,30.73
B2026-0025,54,5.65,29.64,30.85,2.2,34.1
B2026-0025,60,5.66,29.76,27.66,2.67,33.22
B2026-0025,66,5.61,29.43,23.8,2.6,33.93
B2026-0025,72,5.46,29.77,18.63,2.88,32.59
B2026-0026,0,6.36,30.2,38.6,1.39,6.34
B2026-0026,6,6.32,30.25,32.91,1.58,12.05
B2026-0026,12,6.27,30.12,36.15,1.84,19.41
B2026-0026,18,6.3,30.11,33.28,2.03,23.9
B2026-0026,24,6.3,29.78,30.83,2.04,27.24
B2026-0026,30,6.3,29.96,29.76,2.53,26.04
B2026-0026,36,6.13,30.08,22.13,2.56,32.46
B2026-0026,42,6.18,30.08,28.11,2.94,32.83
B2026-0026,48,6.06,30.04,23.49,3.3,35.13
B2026-0026,54,6.12,29.97,21.27,3.54,34.27
B2026-0026,60,6.02,29.93,22.44,3.5,34.85
B2026-0026,66,6.04,30.27,21.43,3.7,34.5
B2026-0026,72,6.04,29.9,18.31,4.27,35.36
B2026-0027,0,6.98,29.67,41.19,1.17,2.21
B2026-0027,6,6.77,29.77,43.66,1.29,13.47
B2026-0027,12,6.72,29.96,48.06,1.49,19.23
B2026-0027,18,6.62,29.69,37.99,1.54,23.57
B2026-0027,24,6.77,29.97,36.52,1.65,28.83
B2026-0027,30,6.62,29.52,36.68,2.11,25.51
B2026-0027,36,6.53,29.77,35.14,2.12,29.56
B2026-0027,42,6.58,29.71,33.17,2.24,29.97
B2026-0027,48,6.54,29.82,32.35,2.51,31.65
B2026-0027,54,6.53,29.55,31.42,2.92,34.75
B2026-0027,60,6.37,29.66,26.92,2.81,32.45
B2026-0027,66,6.41,29.88,23.66,3.24,34.89
B2026-0027,72,6.42,29.87,26.29,3.41,35.9
B2026-0028,0,6.76,30.72,37.09,0.94,4.67
B2026-0028,6,6.83,30.79,35.23,1.06,14.43
B2026-0028,12,6.77,30.58,33.61,1.13,19.14
B2026-0028,18,6.7,30.65,35.59,1.38,24.66
B2026-0028,24,6.8,30.9,30.77,1.57,24.79
B2026-0028,30,6.6,30.63,27.81,1.85,28.99
B2026-0028,36,6.62,30.55,26.3,2.05,30.51
B2026-0028,42,6.65,30.77,22.86,2.31,32.81
B2026-0028,48,6.5,30.55,28.02,2.31,33.84
B2026-0028,54,6.47,30.82,26.33,2.69,32.62
B2026-0028,60,6.49,30.64,21.66,2.65,32.34
B2026-0028,66,6.38,30.79,16.35,3.05,32.98
B2026-0028,72,6.41,30.68,15.92,3.19,33.06
B2026-0029,0,5.8,29.53,48.28,1.18,2.49
B2026-0029,6,5.6,29.59,44.8,1.18,14.04
B2026-0029,12,5.67,29.34,44.18,1.42,21.75
B2026-0029,18,5.65,29.46,44.98,1.57,22.59
B2026-0029,24,5.56,29.59,42.05,1.98,26.95
B2026-0029,30,5.5,29.48,39.81,2.19,29.76
B2026-0029,36,5.48,29.35,37.08,2.42,33.01
B2026-0029,42,5.44,29.47,37.95,2.44,33.96
B2026-0029,48,5.4,29.43,35.58,2.73,34.81
B2026-0029,54,5.33,29.55,35.48,2.91,33.75
B2026-0029,60,5.32,29.29,33.25,3.2,34.09
B2026-0029,66,5.26,29.57,33.84,3.28,33.69
B2026-0029,72,5.26,29.6,30.5,3.96,35.35
B2026-0030,0,5.89,29.35,34.81,1.12,5.07
B2026-0030,6,5.81,29.46,34.79,1.33,12.52
B2026-0030,12,5.79,29.52,31.62,1.69,18.11
B2026-0030,18,5.73,29.37,35.18,1.76,23.86
B2026-0030,24,5.7,29.27,30.32,2.0,26.06
B2026-0030,30,5.59,29.56,27.69,2.32,29.62
B2026-0030,36,5.49,29.47,24.47,2.55,30.04
B2026-0030,42,5.53,29.2,25.96,2.81,30.78
B2026-0030,48,5.46,29.46,25.09,2.62,35.87
B2026-0030,54,5.48,29.5,22.26,2.91,34.47
B2026-0030,60,5.38,29.48,20.53,3.38,32.73
B2026-0030,66,5.42,29.22,23.87,3.84,36.66
B2026-0030,72,5.4,29.38,20.13,3.78,32.1
B2026-0031,0,6.76,30.5,51.63,0.92,3.12
B2026-0031,6,6.52,30.48,46.91,1.3,11.52
B2026-0031,12,6.5,30.37,47.86,1.57,17.18
B2026-0031,18,6.5,29.98,42.58,1.89,26.72
B2026-0031,24,6.51,30.21,44.77,1.98,26.06
B2026-0031,30,6.48,30.33,42.64,2.02,29.58
B2026-0031,36,6.36,30.4,41.25,2.3,32.88
B2026-0031,42,6.37,30.47,37.03,2.43,32.04
B2026-0031,48,6.45,30.04,38.84,2.87,31.67
B2026-0031,54,6.28,30.38,37.81,3.08,34.13
B2026-0031,60,6.33,30.28,34.38,3.07,32.16
B2026-0031,66,6.24,30.28,32.94,3.36,32.49
B2026-0031,72,6.22,30.26,35.01,3.46,35.38
B2026-0032,0,5.79,29.04,36.77,1.1,5.51
B2026-0032,6,5.73,29.04,36.35,1.46,11.42
B2026-0032,12,5.74,28.88,35.25,1.78,20.62
B2026-0032,18,5.68,28.97,31.05,2.08,25.39
B2026-0032,24,5.61,29.0,30.31,2.31,29.41
B2026-0032,30,5.64,28.94,29.06,2.46,28.89
B2026-0032,36,5.55,29.05,28.55,2.66,32.27
B2026-0032,42,5.48,28.78,28.14,3.22,32.39
B2026-0032,48,5.49,29.04,26.67,3.38,30.85
B2026-0032,54,5.53,29.08,21.28,3.41,34.21
B2026-0032,60,5.35,28.97,22.2,3.72,32.22
B2026-0032,66,5.34,28.85,19.42,3.87,33.83
B2026-0032,72,5.32,29.02,15.97,4.14,34.46
B2026-0033,0,5.72,30.33,40.45,1.14,6.25
B2026-0033,6,5.66,30.03,40.29,1.56,10.86
B2026-0033,12,5.61,30.24,38.49,1.55,20.79
B2026-0033,18,5.57,30.46,36.48,1.69,22.59
B2026-0033,24,5.41,30.31,39.24,2.0,27.86
B2026-0033,30,5.45,30.24,35.52,2.4,31.38
B2026-0033,36,5.49,30.28,32.39,2.28,28.63
B2026-0033,42,5.33,30.28,29.8,2.4,31.94
B2026-0033,48,5.33,30.1,28.06,2.75,31.92
B2026-0033,54,5.37,29.99,23.25,3.0,33.6
B2026-0033,60,5.29,30.19,23.8,3.21,33.23
B2026-0033,66,5.32,30.22,23.95,3.71,33.92
B2026-0033,72,5.22,30.37,23.93,3.66,34.72
B2026-0034,0,5.99,29.99,41.65,1.62,5.82
B2026-0034,6,5.96,30.2,37.68,1.61,14.21
B2026-0034,12,5.99,29.96,36.87,2.17,19.23
B2026-0034,18,5.96,30.1,36.75,2.13,25.01
B2026-0034,24,5.89,29.92,33.96,2.54,26.63
B2026-0034,30,5.74,30.22,35.29,2.64,29.46
B2026-0034,36,5.66,29.94,31.75,2.96,29.35
B2026-0034,42,5.65,29.91,30.83,2.98,30.48
B2026-0034,48,5.53,30.13,24.73,3.48,35.31
B2026-0034,54,5.71,29.8,27.35,3.62,31.67
B2026-0034,60,5.56,30.26,26.37,3.92,34.95
B2026-0034,66,5.39,29.96,21.94,4.28,33.9
B2026-0034,72,5.47,30.05,22.05,4.59,34.66
B2026-0035,0,6.28,29.96,58.25,1.18,3.91
B2026-0035,6,6.33,29.73,58.63,1.32,12.27
B2026-0035,12,6.16,30.22,52.43,1.66,18.53
B2026-0035,18,6.18,29.85,51.59,1.53,23.68
B2026-0035,24,6.13,30.05,52.89,2.17,28.05
B2026-0035,30,6.02,30.01,47.54,2.29,28.87
B2026-0035,36,6.13,29.92,50.09,2.58,32.38
B2026-0035,42,5.97,29.93,45.95,2.98,32.37
B2026-0035,48,5.92,30.03,47.4,3.07,30.09
B2026-0035,54,5.95,29.85,42.09,3.44,32.77
B2026-0035,60,5.86,29.88,43.71,3.62,32.04
B2026-0035,66,5.77,29.92,36.93,3.66,35.16
B2026-0035,72,5.84,29.84,38.19,4.11,35.34
B2026-0036,0,6.15,30.72,48.16,1.12,3.38
B2026-0036,6,6.07,31.22,47.22,1.44,14.48
B2026-0036,12,6.02,31.08,39.78,1.42,17.05
B2026-0036,18,6.0,31.13,45.28,1.83,23.56
B2026-0036,24,6.08,31.15,39.69,1.79,26.27
B2026-0036,30,5.94,30.97,40.13,2.04,28.47
B2026-0036,36,5.91,31.21,41.48,2.22,32.61
B2026-0036,42,5.74,30.9,35.13,2.46,33.8
B2026-0036,48,5.74,31.04,35.54,2.73,32.13
B2026-0036,54,5.71,30.91,33.25,3.01,33.59
B2026-0036,60,5.65,31.3,31.64,3.24,36.0
B2026-0036,66,5.66,30.89,35.8,3.31,33.72
B2026-0036,72,5.67,31.22,32.26,3.39,34.91
B2026-0037,0,5.85,29.66,44.26,1.06,3.78
B2026-0037,6,5.87,29.43,44.3,1.4,11.95
B2026-0037,12,5.87,29.63,41.16,1.23,17.13
B2026-0037,18,5.75,29.24,42.37,1.65,23.55
B2026-0037,24,5.62,29.29,37.97,2.04,25.78
B2026-0037,30,5.77,29.49,36.5,2.14,28.63
B2026-0037,36,5.63,29.78,34.9,2.32,29.78
B2026-0037,42,5.72,29.61,34.09,2.4,31.24
B2026-0037,48,5.59,29.5,33.56,2.56,30.6
B2026-0037,54,5.45,29.31,31.29,2.64,33.91
B2026-0037,60,5.51,29.55,29.35,2.99,29.83
