sample_id,batch_id,enzyme_activity_U_mL,protein_concentration_mg_mL,purity_pct,hplc_main_peak_pct,analytical_method,instrument_id,analyst,qc_status
S00025,B2026-0025,765.8,11.99,94.65,94.14,HPLC-ENZ-204,HPLC-01,Analyst_A,Released
S00026,B2026-0026,777.6,11.8,92.27,91.59,HPLC-ENZ-204,HPLC-01,Analyst_B,Hold
S00027,B2026-0027,837.1,11.06,94.84,95.06,HPLC-ENZ-204,HPLC-01,Analyst_B,Released
S00028,B2026-0028,765.6,12.77,92.59,91.63,HPLC-ENZ-204,HPLC-03,Analyst_A,Hold
S00029,B2026-0029,734.7,12.76,93.51,93.18,HPLC-ENZ-204,HPLC-02,Analyst_A,Released
S00030,B2026-0030,878.5,11.45,91.22,89.71,HPLC-ENZ-204,HPLC-01,Analyst_D,Hold
S00031,B2026-0031,725.4,12.27,90.28,90.45,HPLC-ENZ-204,HPLC-01,Analyst_C,Released
S00032,B2026-0032,830.6,9.93,93.76,93.41,HPLC-ENZ-204,HPLC-01,Analyst_C,Hold
S00033,B2026-0033,863.9,13.7,92.61,91.57,HPLC-ENZ-204,HPLC-03,Analyst_A,Released
S00034,B2026-0034,916.9,11.5,91.74,92.5,HPLC-ENZ-204,HPLC-02,Analyst_B,Released
S00035,B2026-0035,726.7,12.45,93.81,92.89,HPLC-ENZ-204,HPLC-01,Analyst_C,Released
S00036,B2026-0036,800.7,10.65,95.87,96.43,HPLC-ENZ-204,HPLC-01,Analyst_C,Released
S00037,B2026-0037,770.5,11.74,95.33,94.84,HPLC-ENZ-204,HPLC-02,Analyst_C,Released
S00038,B2026-0038,889.1,12.14,92.68,93.8,HPLC-ENZ-204,HPLC-02,Analyst_C,Hold
S00039,B2026-0039,697.4,12.49,92.9,93.42,HPLC-ENZ-204,HPLC-03,Analyst_B,Hold
S00040,B2026-0040,784.2,13.12,94.61,93.9,HPLC-ENZ-204,HPLC-01,Analyst_D,Released
S00041,B2026-0041,794.9,14.37,95,94.35,HPLC-ENZ-204,HPLC-01,Analyst_B,Released
S00042,B2026-0042,742.2,13.45,92.9,93.32,HPLC-ENZ-204,HPLC-01,Analyst_A,Released
S00043,B2026-0043,883.5,13.75,93.49,93.31,HPLC-ENZ-204,HPLC-02,Analyst_D,Released
S00044,B2026-0044,896.1,14.38,93.44,93.32,HPLC-ENZ-204,HPLC-03,Analyst_A,Released
S00045,B2026-0045,765.5,13.24,93.74,94.63,HPLC-ENZ-204,HPLC-02,Analyst_B,Released
S00046,B2026-0046,692.3,12.45,92.54,92.02,HPLC-ENZ-204,HPLC-01,Analyst_A,Hold
S00047,B2026-0047,616.7,13.81,92.2,92.26,HPLC-ENZ-204,HPLC-02,Analyst_A,Failed
S00048,B2026-0048,821.3,13.89,95.21,95.87,HPLC-ENZ-204,HPLC-02,Analyst_B,Released
S00049,B2026-0049,784,13.34,94.64,95.21,HPLC-ENZ-204,HPLC-01,Analyst_A,Hold
S00050,B2026-0050,782.6,10.61,93.91,93.8,HPLC-ENZ-204,HPLC-03,Analyst_B,Released
S00051,B2026-0051,800.5,11.41,95.17,94.97,HPLC-ENZ-204,HPLC-02,Analyst_D,Released
S00052,B2026-0052,747.6,12.14,92.01,90.79,HPLC-ENZ-204,HPLC-01,Analyst_A,Released
S00053,B2026-0053,813.4,13.51,95.15,94.41,HPLC-ENZ-204,HPLC-02,Analyst_D,Hold
S00054,B2026-0054,704.4,12.47,93.01,93.23,HPLC-ENZ-204,HPLC-03,Analyst_B,Hold
S00055,B2026-0055,758.9,13.98,97.23,97.13,HPLC-ENZ-204,HPLC-03,Analyst_C,Released
S00056,B2026-0056,863.1,14.21,92.13,92.18,HPLC-ENZ-204,HPLC-01,Analyst_B,Released
S00057,B2026-0057,823.8,14.06,92.63,93.36,HPLC-ENZ-204,HPLC-03,Analyst_B,Released
S00058,B2026-0058,848.3,14.07,93.8,92.97,HPLC-ENZ-204,HPLC-02,Analyst_A,Hold
S00059,B2026-0059,865.8,11.15,94.01,93.84,HPLC-ENZ-204,HPLC-02,Analyst_C,Hold
S00060,B2026-0060,731.7,13.13,95.51,95.64,HPLC-ENZ-204,HPLC-01,Analyst_D,Released
S00061,B2026-0061,763.2,11.71,92.7,92.21,HPLC-ENZ-204,HPLC-03,Analyst_C,Hold
S00062,B2026-0062,826.3,10.36,94.93,95.93,HPLC-ENZ-204,HPLC-03,Analyst_C,Hold
S00063,B2026-0063,823,12.13,95.35,95.98,HPLC-ENZ-204,HPLC-01,Analyst_C,Released
S00064,B2026-0064,890.5,14.22,94.65,94.85,HPLC-ENZ-204,HPLC-02,Analyst_B,Released
S00065,B2026-0065,764.8,13.1,91.52,92.78,HPLC-ENZ-204,HPLC-03,Analyst_A,Released
S00066,B2026-0066,859.8,15.12,95.01,93.96,HPLC-ENZ-204,HPLC-02,Analyst_C,Hold
S00067,B2026-0067,841.8,12.73,94.94,94.93,HPLC-ENZ-204,HPLC-01,Analyst_D,Released
S00068,B2026-0068,782.2,15.68,93.64,93.9,HPLC-ENZ-204,HPLC-03,Analyst_B,Released
S00069,B2026-0069,883.7,12.73,93.77,93.13,HPLC-ENZ-204,HPLC-01,Analyst_D,Released
S00070,B2026-0070,895.4,12.53,94.26,94.47,HPLC-ENZ-204,HPLC-02,Analyst_D,Hold
S00071,B2026-0071,787.4,10.84,92.95,92.18,HPLC-ENZ-204,HPLC-02,Analyst_A,Released
S00072,B2026-0072,862.6,13.94,93.94,94.42,HPLC-ENZ-204,HPLC-03,Analyst_C,Released
S00073,B2026-0073,799.2,11.85,93.18,93.93,HPLC-ENZ-204,HPLC-02,Analyst_C,Released
S00074,B2026-0074,853.4,11.66,92.9,93.09,HPLC-ENZ-204,HPLC-03,Analyst_B,Released
S00075,B2026-0075,787.9,14.17,92.22,90.92,HPLC-ENZ-204,HPLC-03,Analyst_C,Released
S00076,B2026-0076,822.1,14.01,92.21,91.53,HPLC-ENZ-204,HPLC-03,Analyst_D,Released
S00077,B2026-0077,867.5,13.97,93.6,94,HPLC-ENZ-204,HPLC-03,Analyst_C,Released
S00078,B2026-0078,791,12.03,93.11,93.12,HPLC-ENZ-204,HPLC-03,Analyst_D,Hold
S00079,B2026-0079,929.8,12.43,94.22,92.33,HPLC-ENZ-204,HPLC-03,Analyst_D,Hold
S00080,B2026-0080,618.5,12.42,92.83,93.7,HPLC-ENZ-204,HPLC-03,Analyst_D,Released
S00081,B2026-0081,836.8,13.52,92.87,92.97,HPLC-ENZ-204,HPLC-02,Analyst_D,Released
S00082,B2026-0082,702.8,14.52,93.97,93.39,HPLC-ENZ-204,HPLC-01,Analyst_A,Released
S00083,B2026-0083,745.1,12.98,92.66,93.35,HPLC-ENZ-204,HPLC-01,Analyst_A,Hold
S00084,B2026-0084,958.2,15.07,93.23,92.75,HPLC-ENZ-204,HPLC-03,Analyst_A,Released
S00085,B2026-0085,854.5,13.67,94.39,93.91,HPLC-ENZ-204,HPLC-01,Analyst_A,Released
S00086,B2026-0086,827.3,12.19,91.49,91.74,HPLC-ENZ-204,HPLC-03,Analyst_C,Released
S00087,B2026-0087,808.5,13.58,92.34,93.59,HPLC-ENZ-204,HPLC-03,Analyst_C,Hold
S00088,B2026-0088,709.1,14.72,94.38,95.52,HPLC-ENZ-204,HPLC-02,Analyst_B,Released
S00089,B2026-0089,807.2,15.1,91.56,91.81,HPLC-ENZ-204,HPLC-03,Analyst_A,Released
S00090,B2026-0090,866.6,14.04,94.79,95.11,HPLC-ENZ-204,HPLC-01,Analyst_C,Hold
S00091,B2026-0091,758.1,12.53,94.88,95.43,HPLC-ENZ-204,HPLC-02,Analyst_B,Released
S00092,B2026-0092,801.3,12.22,93.17,92.29,HPLC-ENZ-204,HPLC-03,Analyst_D,Released
S00093,B2026-0093,825.1,13.25,93.2,93.66,HPLC-ENZ-204,HPLC-03,Analyst_A,Released
S00094,B2026-0094,893.9,14.68,94.91,94.39,HPLC-ENZ-204,HPLC-01,Analyst_B,Released
S00095,B2026-0095,836.7,13.06,92.79,93.01,HPLC-ENZ-204,HPLC-03,Analyst_A,Released
S00096,B2026-0096,822,13.09,94.7,94.54,HPLC-ENZ-204,HPLC-02,Analyst_B,Hold
S00097,B2026-0097,839.5,12.57,92.93,93.28,HPLC-ENZ-204,HPLC-03,Analyst_D,Released
S00098,B2026-0098,738.8,12.07,92.37,92.46,HPLC-ENZ-204,HPLC-02,Analyst_B,Released
S00099,B2026-0099,793.5,12.29,92.65,90.5,HPLC-ENZ-204,HPLC-02,Analyst_B,Hold
S00100,B2026-0100,742.9,12.68,93.52,93.64,HPLC-ENZ-204,HPLC-01,Analyst_B,Released
S00101,B2026-0101,734.1,14.73,94.2,94.65,HPLC-ENZ-204,HPLC-02,Analyst_B,Released
S00102,B2026-0102,780.4,12.19,93.27,93.59,HPLC-ENZ-204,HPLC-03,Analyst_C,Hold
S00103,B2026-0103,745.1,12.57,91.85,91.78,HPLC-ENZ-204,HPLC-03,Analyst_D,Released
S00104,B2026-0104,864.7,11.38,92.49,93.64,HPLC-ENZ-204,HPLC-01,Analyst_C,Released
S00105,B2026-0105,838.1,13.43,93.97,94.19,HPLC-ENZ-204,HPLC-01,Analyst_C,Released
S00106,B2026-0106,839.8,14.28,95.04,95.34,HPLC-ENZ-204,HPLC-03,Analyst_B,Released
S00107,B2026-0107,745.4,14.61,93.42,94.16,HPLC-ENZ-204,HPLC-02,Analyst_A,Hold
S00108,B2026-0108,875,12.76,93.4,93.65,HPLC-ENZ-204,HPLC-03,Analyst_C,Hold
S00109,B2026-0109,805.7,13.25,94.04,93.41,HPLC-ENZ-204,HPLC-01,Analyst_D,Released
S00110,B2026-0110,813.2,12.3,93.18,91.48,HPLC-ENZ-204,HPLC-02,Analyst_C,Released
S00111,B2026-0111,741.2,13.19,91.79,91.45,HPLC-ENZ-204,HPLC-01,Analyst_A,Hold
S00112,B2026-0112,856.4,12.91,92.29,92.82,HPLC-ENZ-204,HPLC-03,Analyst_C,Released
S00113,B2026-0113,827.2,12.58,95.03,94.78,HPLC-ENZ-204,HPLC-03,Analyst_D,Hold
S00114,B2026-0114,777.3,12.68,90.05,90.61,HPLC-ENZ-204,HPLC-01,Analyst_A,Released
S00115,B2026-0115,829.8,13.09,94.65,94.75,HPLC-ENZ-204,HPLC-01,Analyst_A,Released
S00116,B2026-0116,750.7,12.12,92.78,93.68,HPLC-ENZ-204,HPLC-03,Analyst_C,Released
S00117,B2026-0117,779.2,12.18,92.88,92.67,HPLC-ENZ-204,HPLC-01,Analyst_B,Hold
S00118,B2026-0118,763.7,14.72,95.15,95.48,HPLC-ENZ-204,HPLC-03,Analyst_C,Hold
S00119,B2026-0119,691.5,16.02,91.74,92.1,HPLC-ENZ-204,HPLC-03,Analyst_C,Hold
S00120,B2026-0120,863.9,10.93,92.86,93.91,HPLC-ENZ-204,HPLC-01,Analyst_B,Released
S00121,B2026-0121,914.5,10.86,93.69,92.5,HPLC-ENZ-204,HPLC-01,Analyst_A,Hold
S00122,B2026-0122,833.8,11.26,94.49,94.17,HPLC-ENZ-204,HPLC-03,Analyst_C,Released
S00123,B2026-0123,834.2,12.37,92.91,93.5,HPLC-ENZ-204,HPLC-01,Analyst_B,Hold
S00124,B2026-0124,754.8,13.66,91.34,92.42,HPLC-ENZ-204,HPLC-02,Analyst_D,Hold
S00125,B2026-0125,704.5,13.27,91.31,91.48,HPLC-ENZ-204,HPLC-01,Analyst_B,Hold
S00126,B2026-0126,719.8,12.72,94.23,94.03,HPLC-ENZ-204,HPLC-02,Analyst_A,Hold
S00127,B2026-0127,897.6,13.19,94.04,94.57,HPLC-ENZ-204,HPLC-02,Analyst_D,Released
S00128,B2026-0128,768.4,11.6,93.74,94.35,HPLC-ENZ-204,HPLC-03,Analyst_C,Hold
S00129,B2026-0129,844.4,12.18,92.89,92.63,HPLC-ENZ-204,HPLC-03,Analyst_C,Released
S00130,B2026-0130,809.7,12.47,92.64,92.87,HPLC-ENZ-204,HPLC-02,Analyst_D,Released
S00131,B2026-0131,765.7,10.44,95.17,96,HPLC-ENZ-204,HPLC-02,Analyst_D,Released
S00132,B2026-0132,675,10.99,92.26,93.59,HPLC-ENZ-204,HPLC-02,Analyst_D,Hold
S00133,B2026-0133,833.4,11.04,92.91,93.43,HPLC-ENZ-204,HPLC-03,Analyst_D,Released
S00134,B2026-0134,827.7,13.49,94.39,94.42,HPLC-ENZ-204,HPLC-01,Analyst_B,Released
S00135,B2026-0135,817,12.82,92.39,92.36,HPLC-ENZ-204,HPLC-01,Analyst_A,Released
S00136,B2026-0136,901.1,13.29,92.5,92.89,HPLC-ENZ-204,HPLC-02,Analyst_C,Hold
S00137,B2026-0137,913,10.11,93.74,93.65,HPLC-ENZ-204,HPLC-03,Analyst_D,Released
S00138,B2026-0138,768.6,10.57,93.03,93.16,HPLC-ENZ-204,HPLC-03,Analyst_D,Released
S00139,B2026-0139,755.5,13.36,93.2,92.46,HPLC-ENZ-204,HPLC-01,Analyst_C,Released
S00140,B2026-0140,839.2,8.89,95.91,96.82,HPLC-ENZ-204,HPLC-01,Analyst_C,Released
S00141,B2026-0141,735.2,14.09,93.33,92.53,HPLC-ENZ-204,HPLC-02,Analyst_C,Released
S00142,B2026-0142,899.1,10.13,90.85,90.54,HPLC-ENZ-204,HPLC-02,Analyst_A,Released
S00143,B2026-0143,802,13.6,93.45,93.52,HPLC-ENZ-204,HPLC-02,Analyst_A,Released
S00144,B2026-0144,805.7,11.34,93.19,94.59,HPLC-ENZ-204,HPLC-01,Analyst_A,Hold
S00145,B2026-0145,869.3,13.86,93.67,93.37,HPLC-ENZ-204,HPLC-03,Analyst_D,Released
S00146,B2026-0146,857.9,16.67,93.3,92.83,HPLC-ENZ-204,HPLC-03,Analyst_D,Released
S00147,B2026-0147,811.2,9.54,93.21,92.83,HPLC-ENZ-204,HPLC-03,Analyst_B,Released
S00148,B2026-0148,742.8,13.4,92.6,93.76,HPLC-ENZ-204,HPLC-02,Analyst_B,Released
S00149,B2026-0149,946.5,10.15,94.77,92.8,HPLC-ENZ-204,HPLC-01,Analyst_B,Released
S00150,B2026-0150,837.5,13.05,92.5,91.79,HPLC-ENZ-204,HPLC-02,Analyst_A,Hold
S00151,B2026-0151,830.8,12.23,92.55,94.46,HPLC-ENZ-204,HPLC-01,Analyst_B,Released
S00152,B2026-0152,797.1,12.67,96.81,97.22,HPLC-ENZ-204,HPLC-01,Analyst_B,Released
S00153,B2026-0153,831.3,11.31,92.59,91.81,HPLC-ENZ-204,HPLC-02,Analyst_C,Released
S00154,B2026-0154,877.3,13.51,93.97,93.94,HPLC-ENZ-204,HPLC-02,Analyst_D,Hold
S00155,B2026-0155,828.8,10.62,92.36,92.41,HPLC-ENZ-204,HPLC-01,Analyst_A,Released
S00156,B2026-0156,765.8,14.11,93.72,94.31,HPLC-ENZ-204,HPLC-03,Analyst_B,Released
S00157,B2026-0157,723.6,11.97,91.71,92.99,HPLC-ENZ-204,HPLC-01,Analyst_D,Hold
S00158,B2026-0158,841.1,10.68,93.57,93.84,HPLC-ENZ-204,HPLC-02,Analyst_D,Released
S00159,B2026-0159,703.9,14.57,93.76,93.38,HPLC-ENZ-204,HPLC-02,Analyst_D,Hold
S00160,B2026-0160,846.6,12.41,93.97,94.52,HPLC-ENZ-204,HPLC-02,Analyst_C,Released
S00161,B2026-0161,822.7,14.98,94.21,93.72,HPLC-ENZ-204,HPLC-03,Analyst_A,Released
S00162,B2026-0162,829.1,14.09,91.3,90.58,HPLC-ENZ-204,HPLC-03,Analyst_D,Released
S00163,B2026-0163,698.3,11.46,94.92,93.69,HPLC-ENZ-204,HPLC-03,Analyst_C,Hold
S00164,B2026-0164,848.4,12.39,92.51,91.41,HPLC-ENZ-204,HPLC-02,Analyst_D,Released
S00165,B2026-0165,901.6,12.66,95.84,95.21,HPLC-ENZ-204,HPLC-01,Analyst_D,Released
S00166,B2026-0166,843.8,14.48,94.62,93.79,HPLC-ENZ-204,HPLC-02,Analyst_B,Released
S00167,B2026-0167,772.5,13.07,93.96,94.18,HPLC-ENZ-204,HPLC-02,Analyst_A,Released
S00168,B2026-0168,807.9,12.73,92.19,91.35,HPLC-ENZ-204,HPLC-02,Analyst_C,Released
S00169,B2026-0169,892.1,12.24,93.32,91.12,HPLC-ENZ-204,HPLC-02,Analyst_B,Hold
S00170,B2026-0170,821.4,12.43,92.88,92.15,HPLC-ENZ-204,HPLC-01,Analyst_A,Released
S00171,B2026-0171,764.7,14.2,93.2,92.87,HPLC-ENZ-204,HPLC-02,Analyst_B,Released
S00172,B2026-0172,800.7,12.5,93,92.58,HPLC-ENZ-204,HPLC-03,Analyst_D,Released
S00173,B2026-0173,773.8,11.99,90.44,91.51,HPLC-ENZ-204,HPLC-02,Analyst_B,Hold
S00174,B2026-0174,773.1,11.77,94.35,93.92,HPLC-ENZ-204,HPLC-03,Analyst_B,Released
S00175,B2026-0175,767.1,11.78,92.78,93.4,HPLC-ENZ-204,HPLC-03,Analyst_C,Hold
S00176,B2026-0176,814.6,10.68,93.47,93.45,HPLC-ENZ-204,HPLC-03,Analyst_C,Released
S00177,B2026-0177,854.6,11.52,93.57,93.54,HPLC-ENZ-204,HPLC-01,Analyst_B,Released
S00178,B2026-0178,759,14.45,93.28,92.69,HPLC-ENZ-204,HPLC-03,Analyst_D,Released
S00179,B2026-0179,744.5,12.23,91.63,91.59,HPLC-ENZ-204,HPLC-02,Analyst_C,Released
S00180,B2026-0180,813.2,13.42,90.91,90.38,HPLC-ENZ-204,HPLC-02,Analyst_A,Hold
S00181,B2026-0181,771.6,9.28,93.48,93.6,HPLC-ENZ-204,HPLC-02,Analyst_B,Released
S00182,B2026-0182,879,13.24,94.64,94.47,HPLC-ENZ-204,HPLC-01,Analyst_D,Hold
S00183,B2026-0183,809.6,12.29,92.65,91.99,HPLC-ENZ-204,HPLC-03,Analyst_A,Released
S00184,B2026-0184,836.2,11.87,92.26,92.96,HPLC-ENZ-204,HPLC-02,Analyst_A,Released
S00185,B2026-0185,844.4,12.74,93.6,93.89,HPLC-ENZ-204,HPLC-03,Analyst_C,Released
S00186,B2026-0186,774.9,11.86,91.45,91.13,HPLC-ENZ-204,HPLC-03,Analyst_B,Hold
S00187,B2026-0187,810.8,9.74,91.82,91.92,HPLC-ENZ-204,HPLC-02,Analyst_B,Released
S00188,B2026-0188,798,13.7,92.11,92.05,HPLC-ENZ-204,HPLC-03,Analyst_B,Hold
S00189,B2026-0189,832.5,12.82,94.16,93.55,HPLC-ENZ-204,HPLC-02,Analyst_A,Hold
S00190,B2026-0190,794.5,12.09,92.38,92.43,HPLC-ENZ-204,HPLC-02,Analyst_B,Hold
S00191,B2026-0191,836.7,11.24,92.78,92.35,HPLC-ENZ-204,HPLC-03,Analyst_A,Released
S00192,B2026-0192,745.6,10.59,95.03,94.37,HPLC-ENZ-204,HPLC-03,Analyst_C,Released
S00193,B2026-0193,831.7,12.79,93.85,92.72,HPLC-ENZ-204,HPLC-03,Analyst_C,Released
S00194,B2026-0194,852.3,14.6,93.66,93.41,HPLC-ENZ-204,HPLC-03,Analyst_D,Hold
S00195,B2026-0195,775.5,12.76,92.82,93.22,HPLC-ENZ-204,HPLC-02,Analyst_A,Released
S00196,B2026-0196,740.8,10.7,92.17,91.68,HPLC-ENZ-204,HPLC-03,Analyst_B,Hold
S00197,B2026-0197,825.9,12.79,90.77,92.54,HPLC-ENZ-204,HPLC-01,Analyst_B,Released
S00198,B2026-0198,847.5,12.43,94.68,95.3,HPLC-ENZ-204,HPLC-03,Analyst_C,Released
S00199,B2026-0199,813.9,13.62,94.29,95.2,HPLC-ENZ-204,HPLC-02,Analyst_C,Released
S00200,B2026-0200,803.6,13.29,93.07,93.63,HPLC-ENZ-204,HPLC-02,Analyst_D,Released
S00201,B2026-0201,772.4,8.62,92.8,94.1,HPLC-ENZ-204,HPLC-03,Analyst_D,Released
S00202,B2026-0202,748.5,13.21,94.6,94.05,HPLC-ENZ-204,HPLC-01,Analyst_D,Released
S00203,B2026-0203,770.5,11.2,91.14,89.35,HPLC-ENZ-204,HPLC-03,Analyst_A,Hold
S00204,B2026-0204,726.7,10.65,91.81,91.49,HPLC-ENZ-204,HPLC-02,Analyst_A,Hold
S00205,B2026-0205,817.6,12.25,92.11,92.5,HPLC-ENZ-204,HPLC-02,Analyst_D,Released
S00206,B2026-0206,852.7,13.03,95.22,95.33,HPLC-ENZ-204,HPLC-01,Analyst_D,Released
S00207,B2026-0207,815.9,10.37,95,95.2,HPLC-ENZ-204,HPLC-02,Analyst_B,Released
S00208,B2026-0208,740.5,13.42,90.33,91.26,HPLC-ENZ-204,HPLC-03,Analyst_A,Hold
S00209,B2026-0209,673.2,13.49,91.3,91.56,HPLC-ENZ-204,HPLC-01,Analyst_C,Released
S00210,B2026-0210,763.4,12.56,92.89,93.45,HPLC-ENZ-204,HPLC-02,Analyst_C,Hold
S00211,B2026-0211,815,11.37,92.99,92.33,HPLC-ENZ-204,HPLC-03,Analyst_D,Released
S00212,B2026-0212,700.3,11.23,90.81,90.05,HPLC-ENZ-204,HPLC-02,Analyst_C,Hold
S00213,B2026-0213,887.5,13.83,95.94,97.07,HPLC-ENZ-204,HPLC-02,Analyst_D,Hold
S00214,B2026-0214,792.4,10.54,93.1,93.17,HPLC-ENZ-204,HPLC-02,Analyst_D,Hold
S00215,B2026-0215,815.8,13.88,93.91,93.47,HPLC-ENZ-204,HPLC-01,Analyst_A,Released
S00216,B2026-0216,875.2,12.29,93.35,92.91,HPLC-ENZ-204,HPLC-02,Analyst_A,Released
S00217,B2026-0217,933.6,12.38,95,94.54,HPLC-ENZ-204,HPLC-03,Analyst_D,Released
S00218,B2026-0218,776,10.28,92.51,92.01,HPLC-ENZ-204,HPLC-02,Analyst_A,Released
S00219,B2026-0219,754.2,12.31,92.78,91.88,HPLC-ENZ-204,HPLC-02,Analyst_A,Released
S00220,B2026-0220,710.6,13.3,93.82,92.76,HPLC-ENZ-204,HPLC-01,Analyst_D,Released
S00221,B2026-0221,867.2,10.76,92.17,92.04,HPLC-ENZ-204,HPLC-03,Analyst_A,Released
S00222,B2026-0222,861.9,13.15,95.42,95.01,HPLC-ENZ-204,HPLC-03,Analyst_A,Released
S00223,B2026-0223,906,12.62,93.47,94.24,HPLC-ENZ-204,HPLC-03,Analyst_A,Released
S00224,B2026-0224,803.6,11.66,94.76,94.96,HPLC-ENZ-204,HPLC-02,Analyst_B,Hold
S00225,B2026-0225,786.7,13.61,92.14,92.33,HPLC-ENZ-204,HPLC-02,Analyst_C,Hold
S00226,B2026-0226,807.2,9.64,92.74,92.22,HPLC-ENZ-204,HPLC-02,Analyst_C,Released
S00227,B2026-0227,772.5,12.95,91.27,91.18,HPLC-ENZ-204,HPLC-01,Analyst_D,Hold
S00228,B2026-0228,702.4,14.61,93.32,93.57,HPLC-ENZ-204,HPLC-01,Analyst_C,Released
S00229,B2026-0229,734.4,14.37,92.34,92.84,HPLC-ENZ-204,HPLC-02,Analyst_D,Hold
S00230,B2026-0230,867.9,13.01,92.98,92.92,HPLC-ENZ-204,HPLC-02,Analyst_A,Released
S00231,B2026-0231,803.3,12.11,91.82,92.58,HPLC-ENZ-204,HPLC-01,Analyst_B,Hold
S00232,B2026-0232,771,11.67,91.49,91.5,HPLC-ENZ-204,HPLC-03,Analyst_B,Released
S00233,B2026-0233,827.3,12.11,93.17,93.73,HPLC-ENZ-204,HPLC-02,Analyst_A,Hold
S00234,B2026-0234,763.6,13.21,92.19,91.84,HPLC-ENZ-204,HPLC-03,Analyst_D,Released
S00235,B2026-0235,796.7,11.45,92.72,91.45,HPLC-ENZ-204,HPLC-01,Analyst_A,Released
S00236,B2026-0236,888.4,13.48,95.12,95.31,HPLC-ENZ-204,HPLC-01,Analyst_B,Hold
S00237,B2026-0237,793.7,15.27,93.21,93.72,HPLC-ENZ-204,HPLC-01,Analyst_B,Released
S00238,B2026-0238,780.7,12.42,94.16,94.57,HPLC-ENZ-204,HPLC-03,Analyst_A,Released
S00239,B2026-0239,689.5,10.75,92.55,92.85,HPLC-ENZ-204,HPLC-01,Analyst_D,Released
S00240,B2026-0240,898.5,10.75,93.94,93.69,HPLC-ENZ-204,HPLC-03,Analyst_A,Released
S00241,B2026-0241,855.7,13.51,93.03,92.47,HPLC-ENZ-204,HPLC-03,Analyst_A,Released
S00242,B2026-0242,786.5,12.42,91.02,91.4,HPLC-ENZ-204,HPLC-01,Analyst_B,Released
S00243,B2026-0243,835.1,13.64,95.03,95.33,HPLC-ENZ-204,HPLC-02,Analyst_A,Released
S00244,B2026-0244,783.3,11.81,92.61,92.22,HPLC-ENZ-204,HPLC-01,Analyst_D,Released
S00245,B2026-0245,775.4,13.58,94.15,94.93,HPLC-ENZ-204,HPLC-02,Analyst_A,Released
S00246,B2026-0246,848.3,12.29,92.56,91.94,HPLC-ENZ-204,HPLC-01,Analyst_B,Released
